Epoch	SMILES	Valid	Desired	RDKit_Aggregate_TanimotoCombo	SA
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2cccc3c2C(=O)N(c2cnccc2)C3=O)cc1	1.0	1	0.682	0.965
1	CCc1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	1	1.0	0.935
1	COc1ccc(S(=O)(=O)Nc2ccc(Br)cc2C(=O)c2ccncc2)cc1	1.0	1	0.911	0.981
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1cc2c(cc1)CCNC2	1.0	1	0.849	0.961
1	O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	1	0.91	0.976
1	Cc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)c(O)cc1	1.0	1	0.705	0.947
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cc4c(cccc4)s3)c3ccccc23)CC1	1.0	0	0.005	0.955
1	O=S(=O)(Nc1ncc(Cl)nc1OCc1ccccc1C(=O)O)c1ccccc1	1.0	1	0.851	0.967
1	O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.972	0.984
1	O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.972	0.984
1	N#Cc1cccn1CCCNC(=O)c1ccccc1CC	1.0	1	0.886	0.969
1	COc1nn(CC(=O)c2ccc(Cl)cc2Cl)c2ccccc12	1.0	1	0.915	0.975
1	COc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2Cn2ccnc2)cc1	1.0	1	0.938	0.977
1	O=S(=O)(Nc1cc(Cl)c(Cl)cc1Cn1ccnn1)c1ccccc1	1.0	1	0.91	0.963
1	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccccc2)cc1	1.0	1	0.816	0.989
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCC2)cc1	1.0	1	0.846	0.977
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCCCC1	1.0	1	0.994	0.928
1	O=C1c2c(C(=O)N1c1cnccc1)c(NS(=O)(=O)c1cc(C(F)(F)F)c(Cl)cc1)ccc2	1.0	1	0.766	0.954
1	COc1c2c(NS(=O)(=O)c3ccc(Cl)s3)nn(Cc3cccc(CNC(C)=O)c3)c2ccc1F	1.0	1	0.792	0.928
1	O=C(O)c1cc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cnc1	1.0	1	0.893	0.958
1	O=C(O)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	1	0.954	0.982
1	CCc1ccccc1S(=O)(=O)NC(=O)NCc1ccc(C#N)cc1	1.0	1	0.678	0.979
1	CNc1nc(Br)cnc1NS(=O)(=O)c1ccc(Cl)s1	1.0	1	0.922	0.911
1	CC(=O)OCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.798	0.957
1	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(Cc3ccccc3)nn12	1.0	1	0.929	0.945
1	Oc1cc(CSc2cccc(Cl)c2Cl)nc2nc(Cc3cccc(Cl)c3)nn12	1.0	1	0.951	0.925
1	CC(C)Oc1ccc(S(=O)(=O)Nc2ccc(F)cc2C(=O)c2ccncc2)cc1	1.0	1	0.885	0.977
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	1	0.882	0.95
1	Cc1nc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc1	1.0	1	0.854	0.972
1	COc1ncc(S(=O)(=O)N(C)c2cc(Cl)ccc2N2CCCC2)cc1	1.0	1	0.888	0.964
1	O=C(c1cnccc1)c1cc(F)c(F)cc1NS(=O)(=O)c1ccc(F)cc1	1.0	1	0.93	0.976
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnc(S(C)(=O)=O)cc2)cc1	1.0	1	0.856	0.961
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(c2cnc(F)cc2)C3=O)cc1	1.0	1	0.685	0.938
1	N#CC1(c2ccc(Cl)cc2)CCN(CCCNS(=O)(=O)c2ccccc2C[n+]2ccccc2)CC1	1.0	1	0.45	0.911
1	COc1c(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cncc1	1.0	1	0.65	0.94
1	O=C(O)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.905	0.971
1	CNCCN=C1N2C(=O)C(=C1c1ccccc1)SCc1ccccc12=	0.0	0	0.0	0.0
1	Cc1c(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)ccc[n+]1[O-]	1.0	1	0.658	0.903
1	CN(C)c1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1	1.0	0	0.005	0.945
1	CC(C)(c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1)c1cocn1	1.0	1	0.71	0.924
1	Cc1cccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1	1.0	1	0.905	0.98
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n(C)c(O)n2	1.0	1	0.98	0.948
1	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(C)C)cc2)cn1	1.0	1	0.881	0.967
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(Cl)c1	1.0	1	1.0	0.908
1	COc1nccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1	1.0	1	0.863	0.969
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)cc3)c3c2cccc3)CC1	1.0	1	0.554	0.971
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(Cl)cc1	1.0	1	0.999	0.958
1	Oc1nc2c(O)cccc2n1-c1ccc(Br)cc1	1.0	1	0.854	0.964
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)cc3)c3c2cccc3)CC1	1.0	1	0.554	0.971
1	c1ccc(-c2nc3cc(Nc4nccc(NCc5ccccc5)n4)ccc3[nH]2)nc1	1.0	1	0.578	0.965
1	CC1CCN(C(=O)C(CCn2ccnc2Cl)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	1	0.753	0.816
1	CCOC(=O)Nc1ncnc(Nc2ccc(C(=O)c3cccc(N[SH](C)(=O)=O)c3)cc2)c1	0.0	0	0.0	0.0
1	CC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])c(C)cc2)cc1	1.0	1	0.9	0.954
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(Cl)cc1	1.0	1	0.999	0.958
1	CNS(=O)(=O)c1ccc(CNC(=O)c2ccccc2)cc1	1.0	1	0.787	0.992
1	O=C(c1cccnc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2cnco2)cc1	1.0	1	0.84	0.964
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(Cl)c1	1.0	1	0.806	0.957
1	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2nccn2C)cc1	1.0	1	0.916	0.973
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C(F)(F)F)cc2)C1C1CCCCC1	1.0	1	0.991	0.907
1	CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1	1.0	1	0.989	0.9
1	Nc1nn2c(O)c(Cc3ccc(Cl)cc3)c(C3CC3)nc2n1	1.0	1	1.0	0.93
1	CCOc1ccc(C(=O)c2c(O)c(NS(=O)(=O)c3ccccc3)c3ccccc3OC2C)cc1	0.0	0	0.0	0.0
1	COc1ccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c2cccc3OC)cc1	1.0	1	0.778	0.961
1	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1	0.893	0.955
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(F)c1	1.0	1	0.896	0.965
1	CN(C)c1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)ncn1	1.0	1	0.703	0.916
1	Cc1ccccc1Cc1c(O)n2nc(N)nc2nc1CCBr	1.0	1	1.0	0.906
1	O=C(NCCN1CCCCC1)c1cc(Oc2ncc(Cl)cc2NS(=O)(=O)c2cc(Cl)c(Cl)cc2)ccc1	1.0	0	0.005	0.957
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)CC(C)(C)C)c3c2cccc3)CC1	1.0	1	0.674	0.96
1	CN(C)C(=O)C(CCn1cccc1C#N)NS(=O)(=O)c1cccc2c1cc[nH]2	1.0	1	0.867	0.809
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCC2)cc1	1.0	1	0.846	0.977
1	COc1ccc(Sc2ccc(C(=O)Nc3sc(C)nc3C)cc2)cc1	1.0	1	0.632	0.977
1	CS(=O)(=O)c1cc(NS(=O)(=O)c2ccc(Cl)cc2)c(Oc2ccccc2C(=O)O)cc1	1.0	1	0.932	0.978
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C(C)O	1.0	1	0.955	0.834
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1cc(Br)ccc1	1.0	1	0.999	0.948
1	Oc1cc(CSc2nc(-c3ccccc3)nc(N3CCCCC3)n2)ccc1	1.0	1	0.848	0.973
1	Cc1cnc(CN2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	1	0.603	0.945
1	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	1.0	1	0.597	0.973
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1cc(Cl)ccc1	1.0	1	0.999	0.953
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)cc3)c3c2cccc3)CC1	1.0	1	0.554	0.971
1	O=C(O)c1c(Oc2c(Cl)cccc2NS(=O)(=O)c2ccc(Cl)cc2)cccc1	1.0	1	0.963	0.98
1	Cc1cc(NS(=O)(=O)c2ccc(Cl)cc2)ccn1	1.0	1	0.896	0.987
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2ccccn2)cc1	1.0	1	0.876	0.979
2	Cc1cc[n+]([O-])cc1CN(C(=O)OC(C)(C)C)C1CCN(Cc2ccccc2)CC1)	0.0	0	0.0	0.0
2	CC(=O)OCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.798	0.957
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCCCC1	1.0	1	0.994	0.928
2	COc1c2c(NS(=O)(=O)c3ccc(Cl)s3)nn(Cc3cccc(CNC(=O)C(C)(C)N)c3)c2ccc1	1.0	0	0.005	0.923
2	Nc1nn2c(O)c(Cc3cccc(Cl)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.922
2	CCCCc1ccc(C(=O)Nc2cc(Nc3ccc(NC(=O)CCN(C)C)cc3)ccc2Cl)cc1	1.0	1	0.356	0.978
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n(C)c(=O)n2C	1.0	1	0.969	0.963
2	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)cccn1	1.0	1	0.862	0.958
2	COc1ccccc1Cn1nc(NS(=O)(=O)c2ccc(Cl)s2)c2ccccc21	1.0	1	0.868	0.966
2	COCCOc1nn(C)c2c1c(NS(=O)(=O)c1cccc(Cl)c1Cl)nc(N)n2	1.0	1	0.915	0.924
2	Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3cc(Cl)c(Cl)cc3)CC2)CC1	1.0	1	0.371	0.952
2	Nc1nn2c(O)c(Cc3cccc(I)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.891
2	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(Cc3ccccc3)nn12	1.0	1	0.929	0.945
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1	1.0	1	0.676	0.976
2	Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1	1.0	1	0.45	0.956
2	COc1c(F)c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc1	1.0	1	0.886	0.971
2	COc1ccc(SCc2nc(C)n(C)n2)cc1	1.0	1	0.86	0.965
2	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3ncco3)cc2)cc1	1.0	1	0.804	0.928
2	COc1nc(Br)cnc1NS(=O)(=O)c1ccc(Cl)cc1Cl	1.0	1	0.898	0.956
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnc(S(C)(=O)=O)cc2)cc1	1.0	1	0.856	0.961
2	CCCNC(=O)c1ccccn1Cc1ccccc1C(=O)O	0.0	0	0.0	0.0
2	Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)cc1	1.0	1	0.863	0.971
2	O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.967	0.98
2	COc1ccc(C(=O)N(C)C(COCc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1	1.0	1	0.811	0.906
2	O=C(NS(=O)(=O)c1ccccc1C(F)(F)F)NS(=O)(=O)c1ccccc1	1.0	1	0.616	0.973
2	COc1c(S(=O)(=O)NCc2ccc(C(F)(F)F)cc2)cccc1C	1.0	1	0.838	0.978
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2nccs2)cc1	1.0	1	0.734	0.964
2	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3cnco3)cc2)cc1	1.0	1	0.807	0.921
2	Cc1noc(C)c1NS(=O)(=O)c1ccc(Cl)cc1Cl	1.0	1	0.869	0.971
2	Nc1nn2c(O)c(Cc3cccc(I)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.891
2	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Br)cc(Cl)c1	1.0	1	1.0	0.89
2	Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.93	0.983
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)s1	1.0	1	0.887	0.947
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1cccs1	1.0	1	0.626	0.963
2	COc1ccc2c(c1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)cnn2C	1.0	1	0.921	0.96
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1cc(Br)ccc1	1.0	1	0.999	0.948
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCC2)cc1	1.0	1	0.853	0.978
2	Cc1c2C(=O)N(Cc3cnccc3)C(=O)c2c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1	1.0	1	0.626	0.953
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C(C)CO	1.0	1	0.956	0.838
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.997	0.929
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1	1.0	1	0.886	0.973
2	O=C(NCCO)c1c(O)c(O)cc(N2CCOCC2)c1	1.0	1	0.783	0.969
2	CNS(=O)(=O)c1ccc(CNC(=O)c2cccc3c2cnn3-c2ccc(F)cc2)cc1	1.0	1	0.635	0.975
2	Cc1c2c(=O)c(NS(=O)(=O)c3ccc(F)cc3)c([nH]2)c(Cl)cc1	0.0	0	0.0	0.0
2	COc1nc2c(nc(O)n2Cc2ccc(Cl)cc2)c(C)c1	1.0	1	0.89	0.962
2	CC(=O)C1=C(O)C(=O)N(c2cc(C)ccc2)C1C1CCCCC1	1.0	1	0.933	0.922
2	COc1nc(C)c(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	1	0.653	0.93
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cc(Cl)cc(Cl)c3)c3ccccc23)CC1	1.0	0	0.005	0.96
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C3CCCCC3)c3ccccc23)CC1	1.0	1	0.631	0.965
2	Nc1nn2c(O)c(Cc3cccc(Cl)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.922
2	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(Cl)c1	1.0	1	1.0	0.908
2	O=C(COC(=O)c1ccc(F)cc1)c1ccccc1OC(F)F	1.0	1	0.846	0.986
2	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccccc2)cc1	1.0	1	0.816	0.989
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C(F)(F)F)cc2)C1C1CCCCC1	1.0	1	0.991	0.907
2	Cc1cc(Cc2c(O)n[nH]c2N)n(-c2ccc(CCl)cc2)n1O	0.0	0	0.0	0.0
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccnc2)cc1	1.0	1	0.888	0.977
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2nccnc2)cc1	1.0	1	0.846	0.969
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(Cc2ccccc2)c1	1.0	1	0.768	0.966
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1cc2c(cc1)CCNC2	1.0	1	0.849	0.961
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.997	0.929
2	Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2cnco2)cc1	1.0	1	0.862	0.958
2	CCCCCCc1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(Cl)c1	1.0	1	0.999	0.919
2	Cc1c(C(=O)Nc2ccc(S(=O)(=O)NC3CCN(C(=O)N4CCC4)CC3)c3c2cccc3)cccc1	1.0	0	0.005	0.964
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1c(O)cc(Cl)c1I)	1.0	1	0.927	0.685
2	Cc1nnc(-c2ccco2)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1	1.0	1	0.935	0.96
2	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccccc2)cc1	1.0	1	0.816	0.989
2	CC1CCN(C(=O)C(CCn2ccnc2Cl)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	1	0.753	0.816
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n(C)c(=O)n2C2	0.0	0	0.0	0.0
2	COc1nc(Br)cnc1NS(=O)(=O)c1ccccc1	1.0	1	0.904	0.971
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C(C)C	1.0	1	0.967	0.937
2	CN(C)C(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.837	0.971
2	CC(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2ccccc2)cc1	1.0	1	0.885	0.989
2	COc1ccc(N2C(=O)C(O)=C(C(C)=O)C2C2CCCCC2)cc1	1.0	1	0.995	0.931
2	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)cccn1	1.0	1	0.862	0.958
2	O=S(=O)(Nc1ncnc2n[nH]c(O)c12)c1c(Cl)c(Cl)ccc1	1.0	1	0.872	0.909
2	Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1	1.0	1	0.405	0.957
2	CC(C)NS(=O)(=O)c1cccc(CNC(=O)c2cccc3c(C(N)=O)cccc23)cc1	0.0	0	0.0	0.0
2	CC(C)n1cc(NS(=O)(=O)c2ccc(Cl)cc2)c2cccccc12OCF	1.0	1	0.833	0.507
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(c2ccncc2)C3=O)cc1	1.0	1	0.7	0.952
2	Cc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	1	0.837	0.948
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	1	0.52	0.969
2	CC(=O)C1=C(O)C(=O)N(c2cc(C)ccc2)C1C1CCCCC1	1.0	1	0.933	0.922
2	CCC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.994	0.913
2	CC1CCN(C(=O)C(CCn2cccc2C#N)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	1	0.776	0.801
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1c(Cl)c(Cl)ccc1	1.0	1	0.549	0.962
2	O=C(Nc1ccc(Oc2ccnc3nc(O)n(CCO)c23)c(F)cc1	0.0	0	0.0	0.0
2	Oc1cc(CSc2cccc(F)c2F)nc2nc(C3CCCCC3)nn12	1.0	1	0.96	0.909
2	O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.972	0.984
2	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(Cc3ccccc3)nn12	1.0	1	0.929	0.945
2	O=C(O)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	1	0.875	0.974
2	O=C(O)c1c(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)cc2)cccc1	1.0	1	0.972	0.984
2	Oc1cc(CSc2nc(-c3ccccc3)cs2)nc2nc(Cc3ccccc3)nn12	1.0	1	0.915	0.945
2	CC(=O)Nc1nc2nc(NC(=O)c3ccc(F)cc3)ncc2s1	1.0	1	0.804	0.965
2	CCCCCCOc1ccc(C(=O)CCNCCCC)cc1	1.0	1	0.717	0.986
2	CCOc1cc(Oc2ccc(C(C)=N)cc2)ccc1OCc1cc(O)ccc1S	1.0	1	0.662	0.951
2	Cc1nnnn1Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.98	0.962
2	COc1c(NS(=O)(=O)c2ccc(Cl)s2)nc(Cl)c(Cl)nc1	0.0	0	0.0	0.0
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1	1.0	1	0.903	0.976
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2C(=O)c2cccnc2)cc1	1.0	1	0.889	0.975
3	O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	1	0.91	0.976
3	O=C(C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1)c1ccccc1	1.0	1	0.987	0.904
3	Cc1cccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3ncco3)cc2)n1	1.0	1	0.767	0.924
3	Cc1ncc(S(=O)(=O)c2ccc(Cl)cc2)nc1Cc1	0.0	0	0.0	0.0
3	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)ccn1	1.0	1	0.835	0.956
3	COc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cnc1	1.0	1	0.646	0.939
