Epoch	SMILES	Valid	Desired	ROCS	SA
1	COc1ccc2c(O)cc(C(O)c3ccccc3)c(O)n2c1	0.0	0	0.0	0.0
1	O=C(NCCN1CCNCC1)c1cccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	1.0	0	0.0	0.946
1	CC1=NN(c2ccc(S(=O)(=O)O)cc2S(=O)(=O)NC(=O)c2ccc(C(C)(C)C)cc2)CC1=	0.0	0	0.0	0.0
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	0	0.0	0.929
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)N)c1	1.0	1	0.454	0.923
1	CC=CC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C(CC)c3ccccc3)c3ccccc23)CC1	1.0	0	0.0	0.886
1	N#Cc1c(O)nc(SCc2ccccc2Cl)c2ccccc127[c+]	0.0	0	0.0	0.0
1	CSc1ccccc1C(=O)NCC(C)(C)CN1C(=O)c2cccc3cccc1c23	1.0	1	0.51	0.957
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C2CCOCC2)c1[BH3-]	1.0	1	0.484	0.836
1	CCc1cnc(Sc2cc(OC)c(OC)cc2C)n1CC	1.0	1	0.494	0.949
1	COc1nc(Br)cnc1NS(=O)(=O)c1cc(Cl)c(Cl)s1	1.0	0	0.0	0.898
1	CCNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C3CCN(C)CC3)c3ccccc23)CC1	1.0	1	0.427	0.958
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C#Cc3ccc(C(=O)O)cc3)cc2)cc1	1.0	0	0.0	0.976
1	O=S(=O)(Nc1ccc(NS(=O)(=O)c2cccc(Cl)c2)cc1Cl)c1ccccc1	1.0	1	0.526	0.984
1	O=CCNC(=O)C(Cl)(Cl)Cl	1.0	1	0.521	0.863
1	C=Cc1c(S(C)(=O)=O)c(O)c([N+](=O)[O-])c(F)c1FC(=O)c1ccc(Cl)c(Cl)c1	0.0	0	0.0	0.0
1	Oc1nc2c(O)ccc(O)c2[nH]1	1.0	1	0.499	0.893
1	CCOC(=O)C1=C(C)N(C)C(=O)N1CCl	1.0	1	0.369	0.92
1	COc1cc(O)c(C(=O)NC(=O)c2ccc(Cl)cc2Cl)c(Br)c1	1.0	1	0.508	0.971
1	Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(N3CCOCC3)c(C[n+]3cccc(C)c3)c2)cc1	1.0	0	0.264	0.923
1	O=C(c1cccnc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	0	0.0	0.983
1	CCNC(=O)N1NC(=O)CN1Cc1ccc(Cl)cc1	1.0	1	0.382	0.907
1	O=C(NCCCN1CCOCC1)c1cccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	1.0	1	0.431	0.951
1	O=S(=O)(Nc1cnccn1)c1cccc2c1CCCN2c1ncc[nH]12	0.0	0	0.0	0.0
1	CCCOc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3ccc(C)cc3)C2=O)cc1	1.0	1	0.505	0.936
1	O=S1(=O)NC(Nc2ccccc2Oc2ccccc2)=NN1COCCCCn1ccnc1	1.0	1	0.519	0.876
1	O=C(NCCCN1CCCC1)c1nc(-c2nc3ccccc3nc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc1N	1.0	1	0.503	0.922
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2ccncc2)cc1	1.0	1	0.481	0.979
1	CC(C)(C)CN1CCC(n2nc(O)c(Oc3=O)c(Cl)c3n2)CC1	1.0	1	0.458	0.344
1	O=S(=O)(Nc1ccc(Cl)cn1)c1cnc(NC2CCOCC2)nc1NN	1.0	0	0.0	0.92
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C(CC)c3ccccc3)c3ccccc23)CC1	1.0	1	0.467	0.911
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccnc2)cc1	1.0	1	0.462	0.977
1	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(CF)CF)cc2)cc[n+]1[O-]	1.0	1	0.547	0.897
1	CCCc1ccc(Oc2c(C)oc3c(CN(C)C)c(O)ccc23)cc1	1.0	1	0.568	0.96
1	COc1nn(Cc2ccc(Cl)cc2)c2ccccc128	0.0	0	0.0	0.0
1	CCCS(=O)(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1	1.0	1	0.55	0.96
1	N#Cc1ccccc1Oc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccnc(C)c2)cc1	1.0	1	0.492	0.962
1	O=C(NCCN1CCCC1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	1	0.494	0.971
1	COc1ccc2nc(O)c(CN(C3CC3)C3CC3)cc2c19NC1C[Ag-3]	0.0	0	0.0	0.0
1	O=C(NCCO)c1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.546	0.981
1	CCCCCCN1CC(C(=O)O)Oc2cc(Cc3cc(C5OC(CO)C(O)C(O)C(O)C3O)ccc3Cl)c(Cl)cc211	0.0	0	0.0	0.0
1	Nc1ccccc1SSCc1ccc(Cl)cc1Cl	1.0	1	0.528	0.961
1	CCOc1nc(C(N)=O)c2[nH]c(Cl)c(Cc3nc(C)nc(OC)c3C)c2n1[Ag-3]	0.0	0	0.0	0.0
1	O=C(NS(=O)(=O)c1cccc(Br)c1NS(=O)(=O)c1ccc(CCCO)cc1)CCCn1	0.0	0	0.0	0.0
2	CC(C)(C)CC(=O)c1ccc(Cl)cc1Cn1nc(Cl)cc(Nc2ccc(Oc3ccccc3)cc2)c1	0.0	0	0.0	0.0
2	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CN(C)C)c1	1.0	0	0.0	0.945
2	CN1c2ccccc2C2C34CC5(C)C(CCC(NCc6ccccc6)C(O)C(C)(C)C5O4)C3CCC21C	1.0	0	0.543	0.016
2	CC(=O)c1ccccc1C(=O)c1cc(Br)ccc1N()	0.0	0	0.0	0.0
2	CCN(Cc1ccccc1C)C=C1C(=O)NC(=O)NC1c1ccc(Cl)cc1	1.0	1	0.526	0.834
2	COC(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.0	0.975
2	Cc1ccncc1CN1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O	1.0	1	0.534	0.942
2	COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1Cl	1.0	1	0.467	0.942
2	Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)N(C)C)CC2)c2ccccc12	1.0	1	0.494	0.965
2	c1ccc2[nH]c(C3CCC(CN4CCCCC4)CC3)nc2c1ClNc	0.0	0	0.0	0.0
2	Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(N3CCOCC3)cc2)c[n+]1[O-]	1.0	1	0.553	0.943
2	CC(=O)C1=C(O)C(=O)N(c2cccc(Cl)c2)C1C1CCCCC1	1.0	1	0.511	0.92
2	COc1cc2ccccc2c(=O)c1-c1c2c(n(C)c1C)CCCC2	0.0	0	0.0	0.0
2	CCCCC(c1ccc(C(F)(F)F)cc1)N1CC(O)C(O)CC12OC2	1.0	0	0.0	0.291
2	COc1cccc(NS(=O)(=O)c2ccc(N(C)C)cc2)c1Cl	1.0	1	0.523	0.983
2	Cc1cc(-c2ccc(Oc3cc(C(F)(F)F)ncc3F)cc2)ccc1Onccc1	0.0	0	0.0	0.0
2	Cc1cncc(C(=O)Nc2cncc(C(=O)O)c2)c1F	1.0	1	0.502	0.96
2	CCNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	0	0.0	0.967
2	COc1cncc(C(=O)Nc2ccc(Cl)c(C3(C)N=C(N)OCC3C)c2)c1	1.0	1	0.597	0.727
2	O=C(c1ncccn1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1[NH-]	1.0	1	0.5	0.861
2	CCc1cnc(NS(=O)(=O)c2cccc(Cl)c2F)nc1N2	0.0	0	0.0	0.0
2	Oc1cc(CSc2cccc(F)c2F)nc2nc(C3CCCCC3)nn12	1.0	0	0.0	0.909
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccnc2)cc1	1.0	1	0.449	0.977
2	Cc1ncccc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O	1.0	1	0.503	0.943
2	Cc1ncncc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O	1.0	1	0.453	0.926
2	CC(CO)Oc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)cc1)cn2CCCCO	1.0	1	0.542	0.879
2	Cc1ccc(NC(=O)C(=O)NCCCN2CCCCC2)cc1Cl	1.0	0	0.0	0.984
2	Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)OCCCN3CCc4ccccc4C3)CC2)c2ccccc12	1.0	1	0.521	0.932
2	COc1c(F)ccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNCC(=O)O)c1	1.0	1	0.546	0.916
2	O=C(Nc1ccc(C(=O)N2CCCCC2)cc1)N1CCC(N2Cc3ccccc3NC2=O)CC1	1.0	1	0.547	0.965
2	CCCCN(C(=O)c1cscn1)c1nc2c(s1)C[SH]([O-])(O)=C2	1.0	1	0.541	0.465
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	1	0.495	0.97
2	COc1ccc(CCNc2nc(N#N)nc(NSc3ccccc3)n2)cc1	0.0	0	0.0	0.0
2	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1	0.404	0.955
2	COc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC(C)c2ccccc2)c(F)c1	1.0	1	0.373	0.962
2	COC(=O)c1ccc(NC(=O)N2CCCCC2C(=O)O)cc1	1.0	1	0.487	0.97
2	Cc1ccccc1C(=O)Nc1ccncc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.429	0.978
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	0	0.0	0.983
2	CC(F)(F)c1ccc(S(=O)(=O)c2ccc(N3CCCCCC3)c(NS(=O)(=O)c3ccc(C(F)(F)F)c(Cl)c3)c2)cc1	1.0	1	0.524	0.926
2	N=C(N)c1ccc(OC(=O)NCC(=O)c2ccccc2N)cc1	1.0	0	0.0	0.975
2	Cc1ccc(SC2OC(CO)C(O)C(O)C2O)cc1[SiH2]	1.0	1	0.531	0.315
2	Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)N(C)C)CC2)c2ccccc12	1.0	1	0.439	0.965
2	CCOP(=O)(O)c1cccnc1F	1.0	1	0.446	0.751
2	O=C(O)c1ccccc1Oc1ccc(Br)cc1NS(=O)(=O)c1ccc(F)cc1	1.0	1	0.521	0.982
2	CC(C)NC(=S)N1CC(NC#N)c2ccccc21c1c1	0.0	0	0.0	0.0
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C3CCN(C)CC3)c3ccccc23)CC1	1.0	1	0.547	0.96
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(CCc3ccccc3)c3ccccc23)CC1	1.0	1	0.538	0.971
2	CCOc1[nH]nc(C(=O)NCc2cccc(C(C)(C)C)c2)c1	1.0	1	0.429	0.96
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1[Ag-3]c1ccccc1Cl[CH-]	0.0	0	0.0	0.0
2	Cc1cc(C(=O)NCCn2nnc3ccccc32)c(C)cc1CN2C(=O)c3ccccc3C1=O2	0.0	0	0.0	0.0
2	COc1cc2c(cc1NS(=O)(=O)c1cccc(Cl)c1Cl)nc(O)n2C1	0.0	0	0.0	0.0
2	NC(=O)Nc1cc(Oc2c(Cl)cccc2Cl)ccc1Nnnc1	0.0	0	0.0	0.0
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(Cl)c(Cl)c1	1.0	0	0.0	0.967
2	CCCNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	1	0.511	0.966
2	O=C(c1cccnc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.367	0.983
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(CCc2cccc(C#N)c2)C3=O)cc1	1.0	1	0.529	0.944
2	C#Cc1ccc(C2C(CO)NC(S)=N2)cc1N	1.0	0	0.0	0.306
2	O=S1(=O)NC(Nc2ccccc2I)=Nc2c(O)cc(Cl)cc21=	0.0	0	0.0	0.0
2	N#Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccc(Cc4ccncc4)c(F)c3oc2)cc1	0.0	0	0.0	0.0
2	Cc1cncc(COc2ccc(N)nc2O)c1NS1CCCC1	1.0	1	0.499	0.516
3	O=C(CCC(=O)Nc1ccccc1)NO	1.0	1	0.381	0.992
3	O=C1CC(c2ccccc2)c2c1ccc(NC(=O)c1cccc(C(C)(C)C)c1)c1ncc[nH]12	0.0	0	0.0	0.0
3	O=C(c1ccccn1)c1ccccc1OCc1ccccc1OS(-)(=O)=O	0.0	0	0.0	0.0
3	CCCCN(C1C(=O)c2ccccc2C1=O)C(C)C	1.0	0	0.0	0.942
3	O=C(O)c1ccccc1Oc1ncccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	0	0.0	0.981
3	CCNC(=O)C1OC(n2cnc3c(NC(=O)c4ccccc4)ncnc32)C(O)C1O	1.0	1	0.484	0.727
3	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c(CN)c1[SiH]	1.0	1	0.557	0.912
3	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1ccccc1O=O	0.0	0	0.0	0.0
3	CN(C)CCCNC(=O)N1C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(=O)c3ccccc3)cc21	1.0	1	0.502	0.908
3	CC1CCN(C(=O)C(CCc2ccccc2)=N[SH](=O)(O)c2ccc(Cl)cc2)CC1	1.0	0	0.0	0.816
3	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccnc(S(C)(=O)=O)c2)cc1	1.0	0	0.0	0.957
3	COc1cccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)n1	1.0	1	0.527	0.938
3	O=C(NCc1cccnc1)c1nc2nc(O)cc(N3CCOCC3)c2cc1Fbc1ccccc1	0.0	0	0.0	0.0
3	COCC(=O)NC1CCN(Cc2cnc(NCC)n2-c2ccc(Cl)cc2)CC1	1.0	0	0.0	0.944
3	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C3(C)CCOCC3)cc2)cc[n+]1[O-]	1.0	1	0.485	0.894
3	CCC(CC)NC(=O)c1ccc(OC)c(C)c1C	1.0	1	0.514	0.983
3	CC(=O)c1ccc(F)c(C(=O)Nc2ccc(Cl)cc2C(=O)c2ccccc2)c1O	1.0	0	0.0	0.976
3	CNc1nc2[nH]c(O)nc(O)c2c1NN1	0.0	0	0.0	0.0
3	CCNC(=O)C(C)c1cccc(C(Cc2ccccc2)C(=O)NC(C)C(=O)OC)c1O	1.0	1	0.515	0.766
3	COc1cc(S(=O)(=O)c2cccc(F)c2)c2c(Cl)cccc2c1O	1.0	1	0.534	0.968
3	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1	1.0	1	0.444	0.976
3	CCCCNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	1	0.505	0.965
3	CCCCCCCCC(NC(C)=O)(P(=O)(O)Oc1cccc(NC)c1)CC(=O)OCC	1.0	0	0.0	0.663
3	O=C(NCCN1CCCCC1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	1	0.501	0.97
3	CCCCC(CC)C(=O)Nc1nnc(CC)s1	1.0	1	0.595	0.929
3	COc1ccc2c(c1)c(Cc1cccc(C)c1)c(C)n2Cc1ccncc1)CCn1ccnc1	0.0	0	0.0	0.0
3	Cc1ccccc1NS(=O)(=O)c1ccc2c3c(cccc3c1)C(=O)O2	0.0	0	0.0	0.0
3	Cc1ncccc1C(=O)c1c(O)oc2ccccc2c1=O	1.0	1	0.44	0.965
3	Cc1ccc2c(c1)C1CS(=O)(=O)CCC1S2C	1.0	1	0.494	0.176
3	CCOC(=O)c1ccccc1Oc1ccc(F)cc1COc1ccc(CCC(C)(C)C)cn1)c1ccccc1	0.0	0	0.0	0.0
3	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cccc(F)c3)c3ccccc23)CC1	1.0	1	0.463	0.968
3	COc1cc(OC)cc(N(Cc2ccco2)c2cnccN2)c1	0.0	0	0.0	0.0
3	COc1cc(N(C)CCCN(C)C)c2ncnc(NS(=O)(=O)c3ccc(Cl)cc3O)c2o1	0.0	0	0.0	0.0
3	CCCCCCCCn1ccnc1N[N+](=O)[O-]	1.0	1	0.464	0.933
3	CNC(=O)C=Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1[nH+][b-]	0.0	0	0.0	0.0
3	COCCN(C(=O)c1ccc(S(=O)(=O)NC)cc1)C(C)C	1.0	1	0.379	0.98
3	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cccc(F)c3)c3ccccc23)CC1	1.0	0	0.0	0.968
3	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cccs3)c3ccccc23)C1	1.0	0	0.0	0.917
3	CCc1ncnc(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1[b-]	0.0	0	0.0	0.0
3	COc1ccc(Cl)cc1N1C(=O)c2ccc(C(=O)c3ccc(C)cc3)cc21=O	0.0	0	0.0	0.0
3	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3c(c2)c2ccccc2[n+]2[O-])ccc13	0.0	0	0.0	0.0
3	O=C(O)c1ccncc1NS(=O)(=O)c1ccc(Cl)cc1Cl[B]	0.0	0	0.0	0.0
3	O=C(Nc1ccccc1-c1nc2ccccc2nc1O)c1ccccc1O	1.0	1	0.654	0.976
3	COc1ccc2nc(NS(=O)(=O)c3ccc(Cl)cc3Cl)sc2c1	1.0	0	0.0	0.979
3	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1	1.0	0	0.0	0.958
3	COCCOc1nc(NS(=O)(=O)c2cccc(Cl)c2Cl)ncc1S(=O)(=O)c1ccc(F)cc1[SiH2]	1.0	1	0.462	0.834
3	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.0	0.977
3	C=CCN(C(=O)OCc1ccc(F)cc1)C1CCN(CCC2(c3cccc(F)c3)CCN(C(=O)c3cc(S(=O)(=O)NC)c(F)cc3Cl)CC2)CCO1O	0.0	0	0.0	0.0
3	O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(=O)c1ccc(C(F)F)cc1	1.0	0	0.0	0.879
3	Cc1cccc(C(=O)NC2(C(=O)O)Cc3ccccc3C2)c1	1.0	1	0.426	0.977
3	COc1ccc(S(=O)(=O)Nc2ccc(F)c(F)c2)c2cccnc12[SiH]	0.0	0	0.0	0.0
3	Cc1ccccc1S(=O)(=O)Nc1ccc(O)c2ccccc12	1.0	0	0.0	0.987
3	COc1ccccc1CN=C(N)n1ncc2c(N[SH](C)=O)nc(NC)nc21	1.0	1	0.441	0.534
3	COc1ccc2cc(C(=O)NCCCN3CCN(C)CC3)[nH]c2c1ClNnc2cc(CN)ccc2[n+]1[O-]	0.0	0	0.0	0.0
3	Cn1c(=O)c2cc(C(=O)NCCc3ccccc3)ccc2n1	0.0	0	0.0	0.0
3	CN(C)C(=O)Cn1cc(-c2[nH]nc3cnc(-c4ccccc4)cc3c2)cn1	0.0	0	0.0	0.0
3	COc1cc2nc(C(C)C)n(C)c2cc1B(O)[O-]	1.0	1	0.462	0.829
3	Cc1cccc(N2C(=O)CC(c3ccc(Cl)cc3)CS2(=O)=O)c1	1.0	1	0.532	0.907
3	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1c	0.0	0	0.0	0.0
3	O=C(NCCN1CCC(F)(F)CC1)c1ccc(Br)cc1	1.0	0	0.0	0.978
4	CCc1ccccc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O	1.0	1	0.545	0.954
4	Nc1nccc2cc(NC3(CCNS(=O)(=O)c4ccccc4)CCCC3)ccn12	0.0	0	0.0	0.0
4	COc1nccnc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.0	0.968
4	O=C(O)CCCCn1ccc2c(N=CC=O)cccc21	1.0	1	0.508	0.932
4	O=C(O)c1cccc(N=Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1	1.0	1	0.41	0.978
4	CCOC(=O)C1CCCN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1	1.0	1	0.419	0.961
4	COc1ccccc1CNC1CCCc2ccccc21	1.0	1	0.474	0.971
4	NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(C(=O)O)cc2)cc1	1.0	1	0.475	0.988
4	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C(CC)CC)c3ccccc23)CC1	1.0	1	0.502	0.959
4	O=C(O)c1cc2c(cn1)[nH]c1ccccc12	1.0	1	0.503	0.98
4	COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.52	0.964
4	CCC(CC)C(=O)NC(C)C(=O)c1ccccc1	1.0	1	0.554	0.964
4	CC(=O)c1ccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)cn1	1.0	1	0.387	0.934
4	COc1ccc2c3c(c(=O)oc2c1)CCCCCCCCO3	1.0	1	0.548	0.933
4	CCCCCCCCS(=O)(=O)C[N+](C)(C)C	1.0	1	0.481	0.933
4	O=C(CO)COc1c2occc2cc2ccccc12=O	0.0	0	0.0	0.0
4	CC1CN(Cc2cccc(C(C)(C)C)c2)c2ccccc2O1	1.0	0	0.275	0.948
4	Cc1ccccc1C(=O)Nc1ccccc1CN1CCC(N2CCCCC2)CC1	1.0	0	0.0	0.982
4	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.536	0.929
4	O=C(NCCNCc1ccccc1)c1ccccc1	1.0	1	0.443	0.994
4	NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1	0.51	0.984
4	CCCCOc1ccc(C(=O)NS(=O)(=O)c2ccccc2C)cc1	1.0	1	0.397	0.988
4	Cn1ccc2cc(NS(=O)(=O)c3cccc(Cl)c3Cl)ccc21C	0.0	0	0.0	0.0
4	COC(=O)CNC(=O)C1C(c2ccccc2)CC2N(Cc3ccccc3)C(=O)C2C12	0.0	0	0.0	0.0
4	O=C(c1nccs1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	0	0.348	0.972
4	CCOC(=O)c1cnnc1-c1ccccc1C(C)(C)c1ccccc1Cl)	0.0	0	0.0	0.0
4	CCCCCCCCCCCCC(=O)O	1.0	1	0.447	0.992
4	CC(=O)c1cccc(S(=O)(=O)NCCCCCN2C(=O)c3ccccc3C2=O)c1	1.0	0	0.0	0.979
4	Cc1nccn1OC1(CO)CC(C)(C)OC1c1ccccc1	1.0	0	0.0	0.48
4	CC(=O)C(=CNc1ccccc1)C(=O)c1ccccc1	1.0	1	0.526	0.983
4	Cc1ccc(C(=O)c2ccccc2OC(C)=O)cc1=	0.0	0	0.0	0.0
4	CCCCCCCOc1ccc(Cl)c2c1C(C)CCCN2	1.0	0	0.0	0.903
4	COc1ccccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1NC=O	1.0	0	0.297	0.95
4	CCCCCCc1nc2nc(N)nn2c(O)c1Cc1ccccc1	1.0	1	0.456	0.949
4	CC(=O)NC(C)Cc1ccc(C#Cc2ccccc2)cc1	1.0	1	0.51	0.96
4	Cc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1	1.0	1	0.48	0.919
4	CC(=O)N=C(NS(=O)(=O)c1cccc(Cl)c1)c1ccccc1C	1.0	0	0.0	0.965
