Epoch	SMILES	Valid	Desired	RDKit_Supermolecule_TanimotoCombo	SA
1	O=C(O)c1c(Oc2nccnc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	1	0.3	0.968
1	O=C(O)c1cc(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)ccc1	1.0	0	0.166	0.977
1	CC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=NO)c2ccccc2C3=O)cc1	1.0	1	0.217	0.969
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(C)cc1	1.0	1	0.439	0.959
1	Cc1ccc(Oc2ccc(CNC(=O)c3cc(C)ccc3C(C)O)cc2)cc1	1.0	0	0.12	0.961
1	Cc1ccc(N2C(N)=NC(N)=NC2C)cc1N=N[O]	1.0	0	0.084	0.425
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2C(=O)c2ccncc2)cc1	1.0	0	0.197	0.968
1	O=C(NCCN1CCCC1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1	1.0	0	0.005	0.947
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1ccc(Cl)c(Br)c1	1.0	1	0.452	0.899
1	COc1ncc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	0	0.145	0.942
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)N3CCCCC3)c3ccccc23)CC1	1.0	0	0.131	0.964
1	COc1nc(Cl)cnc1NS(=O)(=O)c1c(Cl)c(Cl)cs1	1.0	0	0.119	0.866
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCOCC2)cc1	1.0	0	0.187	0.973
1	Cc1cccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1	1.0	0	0.099	0.952
1	Oc1cc(CSc2cccc(F)c2F)nc2nc(-c3ccccc3)nn12	1.0	1	0.276	0.945
1	CCc1ccc(N2C(=O)C(O)=C(C(C)=O)C2C2CCCCC2)cc1	1.0	0	0.144	0.925
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	0	0.138	0.969
1	O=C(c1cnccc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1	1.0	0	0.194	0.973
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccc1	1.0	1	0.317	0.973
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2cc(F)c(F)cc2C(=O)c2ccncc2)cc1[SiH]	1.0	1	0.237	0.9
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(NCCO)ncc(Cl)n2)cc1	1.0	1	0.34	0.941
1	Cc1ccccc1Cc1c(O)n2nc(N)nc2nc1C1CC1	1.0	1	0.723	0.922
1	Cc1cc(CCN2CCCCC2)ccc1NC(=O)c1ccc(C(C)(C)C)cc1	1.0	0	0.134	0.985
1	O=C(O)c1c(F)cccc1Oc1ccc(C(F)(F)F)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.315	0.969
2	CNC(=O)c1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(OC)cccc32)ccc1	1.0	1	0.238	0.95
2	O=C(NCCN1CCCCC1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	0	0.005	0.97
2	Cc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cnc1	1.0	0	0.146	0.939
2	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)cc1	1.0	1	0.214	0.98
2	CCOc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C)cc2)cc1	1.0	1	0.225	0.985
2	Oc1cc(CSc2cccc(F)c2F)nc2nc(Cc3ccccc3)nn12	1.0	0	0.139	0.937
2	CC1COC(C)(Cc2ccc(S(=O)(=O)Nc3ccc(Cl)cc3C(=O)c3ccncc3)cc2)O1	1.0	0	0.184	0.786
2	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3cnco3)cc2)cc1	1.0	0	0.198	0.921
2	O=C(O)c1c(Oc2ccccc2)cccc1NS(=O)(=O)c1cc(Cl)c(Cl)cc1	1.0	0	0.132	0.979
2	O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	1	0.281	0.976
2	Oc1cc(CSc2cccc(F)c2F)nc2nc(CCc3ccccc3)nn12	1.0	1	0.274	0.935
2	COc1ccccc1Cn1nc(NS(=O)(=O)c2ccc(Cl)s2)c2c1cc(Cl)cc2	1.0	1	0.25	0.958
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n(C)c(O)n2	1.0	1	0.216	0.948
2	O=C(NS(=O)(=O)c1cc(Cl)ccc1)N1CCC(N2CCC(Oc3cc(Cl)c(Cl)cc3)CC2)CC1	1.0	0	0.108	0.951
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C3CCCCC3)c3ccccc23)CC1	1.0	0	0.138	0.965
2	O=[N+]([O-])c1cc(O)c2N=C(Nc3c(Br)cccc3)NS(=O)(=O)c2c1	1.0	0	0.082	0.845
2	COCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	0	0.151	0.968
2	CCCCCCCc1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	1	0.609	0.937
2	O=C(c1cnc(Cl)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1	1.0	1	0.208	0.967
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)c2ccncc2)cc1	1.0	1	0.213	0.976
2	O=C(Nc1ccc(S(=O)(=O)NC2CCNCC2)c2c1cccc2)c1ccccc1[N+](=O)[O-]	1.0	0	0.146	0.964
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.328	0.929
2	O=S(=O)(Nc1ncc(Cl)nc1OCc1ccccc1CO)c1cccc(Cl)c1	1.0	1	0.202	0.957
2	O=C(Cn1nc(Cl)c(Cl)cc1)NN=CC=Cc1ccccc1	0.0	0	0.0	0.0
2	Oc1cc(CSc2cccc(F)c2F)ncc1Cn1nc(Br)ccc1	0.0	0	0.0	0.0
2	Cc1c(Oc2ccc(NC(=O)NC(CC(C)C)C(=O)NO)cc2)ccc[n+]1	1.0	0	0.089	0.655
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccn2)cc1	1.0	0	0.163	0.968
2	Cc1nn(Cc2ccc(Cl)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1	1.0	1	0.273	0.98
2	Cn1nnnc1Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.298	0.96
2	O=C(O)c1c(F)c(F)c(F)c(-n2nc(N)nc2N)c1Cl	1.0	0	0.096	0.859
2	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cccc(F)c3)cc2)cccn1	1.0	0	0.189	0.973
2	COc1c2c(NS(=O)(=O)c3ccc(Cl)s3)nn(Cc3cccc(CNC(=O)C4CCO4)c3)c2ccc1	1.0	0	0.005	0.849
2	COc1ncc(Cl)nc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.157	0.955
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1cncn1)c1ccc(Cl)c(Cl)c1	1.0	1	0.343	0.969
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccnc(Cl)c2)cc1	1.0	1	0.202	0.971
2	Cc1c(C(=O)Nc2ccc(S(=O)(=O)NC3CCN(C(=O)OCCCN4CC(C)OC(C)C4)CC3)c3c2cccc3)cccc1	1.0	0	0.005	0.769
2	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(Cl)c1	1.0	1	0.474	0.908
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCCC1	1.0	1	0.455	0.929
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2F)C1C1CCCCC1	1.0	1	0.231	0.903
2	O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)cc2)cccc1	1.0	1	0.262	0.981
2	COc1c(C)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc1	1.0	0	0.154	0.985
2	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)ccn1	1.0	0	0.194	0.956
2	O=C(CCN1C(=O)c2cccc3cccc(c23)C1=O)N1CCCC1CF	1.0	0	0.161	0.914
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)c2ccncc2)cc1	1.0	1	0.213	0.976
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(F)cc2C(=O)c2ccncc2)cc1[As+]	1.0	1	0.206	0.919
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.328	0.929
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(O)cccn2)cc1	1.0	1	0.279	0.97
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.194	0.977
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccc2)cc1	1.0	0	0.192	0.977
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(F)c1	1.0	1	0.303	0.965
2	CNc1nc(OC)nc(NS(=O)(=O)c2ccc(Cl)cc2)n1	1.0	0	0.175	0.971
2	CC1(c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3C(=O)c3ncccc3)cc2)CCOCC1	1.0	0	0.19	0.947
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(F)cc2C(=O)c2ccncc2)cc1	1.0	0	0.196	0.976
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)cc3)c3ccccc23)CC1	1.0	0	0.142	0.971
2	COc1ncc(CN2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	0	0.144	0.945
2	COc1ccc(NC(=O)CCNC(=O)C(C)c2ccc(C(C)(C)C)cc2)cc1	1.0	0	0.08	0.963
2	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1C(F)(F)F	1.0	0	0.097	0.958
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n(C)c(O)n2	1.0	1	0.216	0.948
2	Cc1ncnc(C)c1C(=O)NCC(=O)N1CCCC1c1ccccc1F	1.0	0	0.137	0.918
2	COc1cc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)ccc1	1.0	1	0.28	0.974
2	CC(=O)C1=C(O)C(=O)N(c2cc(Cl)ccc2)C1C1CCCCC1	1.0	1	0.421	0.92
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1cc(Cl)ccc1	1.0	1	0.442	0.953
2	CC(C)(C)OC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.005	0.97
2	O=C(C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1c1cc(Br)ccc1)	1.0	1	0.286	0.853
2	CCCC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.447	0.91
2	COc1cc(C(=O)NCCN2CCCCC2)ccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	0	0.005	0.963
2	O=C(c1ncccn1)c1cc(Cl)c(Cl)cc1CSC(=S)N1CCOCC1=O	1.0	1	0.228	0.851
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2cnco2)cc1	1.0	0	0.181	0.964
2	CC(=O)C1=C(O)C(=O)N(c2cc(F)ccc2F)C1C1CCCCC1	1.0	1	0.425	0.895
2	CCOC(=O)C1=C(C)N(c2ccc(C)cc2)C(=O)C1Cl	1.0	0	0.178	0.918
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(C(=O)Nc3ccccc3C)cc2)CC1	1.0	0	0.103	0.981
2	CC(=O)c1c(C)oc2c1cc(NS(=O)(=O)c1ccc(C(C)(C)C)cc1)c1c2cccc1	1.0	1	0.232	0.962
2	Cc1nn2c(O)c(Cc3ccccc3)n(Cc3cccc(C(FF)(F)F)c3)c2nc1NCc1ccc(C(F)(F)F)cc1	0.0	0	0.0	0.0
2	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.19	0.983
2	CC(C)Cc1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	0	0.175	0.929
2	CC(=O)C1=C(O)C(=O)N(c2cc(C)c(F)cc2F)C1c1ccc(Cl)cc1	1.0	1	0.534	0.918
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(OC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.144	0.971
2	O=C(NCCc1c(-c2ccc(F)cc2)[nH]c2ccccc12)NO	1.0	0	0.164	0.973
2	N#Cc1cccn1CCC(NS(=O)(=O)c1cccc2[nH]ccc12)C(=O)O	1.0	0	0.197	0.843
2	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)=O)cccc32)ccc1	1.0	1	0.244	0.934
2	Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)CCCCN)CC2)c2ccccc12	1.0	0	0.005	0.963
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnc(S(N)(=O)=O)cc2)cc1	1.0	1	0.207	0.958
2	CC1CCN(C(=O)C(CCn2nccc2C#N)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	1	0.312	0.768
2	CCc1ncnc(-c2cc(Cl)ccc2NS(=O)(=O)c2cccc(C(C)C)c2)c1Clc	0.0	0	0.0	0.0
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccn1	1.0	1	0.251	0.952
2	CC(C)(c1ccc(S(=O)(=O)Nc2cc(F)c(F)cc2C(=O)c2ncccc2)cc1)c1ncco1	1.0	1	0.208	0.915
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccc1	1.0	1	0.317	0.973
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccccc2)CC1	1.0	0	0.121	0.986
2	COC(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccc2)cc1C	1.0	0	0.178	0.967
2	N#Cc1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)c2cc(Cl)ccc2)ccc1	1.0	1	0.342	0.978
2	COc1c2c(NS(=O)(=O)c3ccc(Cl)s3)nn(Cc3cccc(CN(C)C(C)=O)c3)c2ccc1	1.0	1	0.308	0.936
2	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(C3CCCCC3)nn12	1.0	1	0.201	0.921
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cccc(C)c3)c3ccccc23)CC1	1.0	0	0.145	0.969
2	COc1nn(CC(=O)O)c2c1c(NS(=O)(=O)c1cccc(Cl)c1Cl)ncn2	1.0	1	0.21	0.931
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(OC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.144	0.971
2	COc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(OC)cccc32)ccc1	1.0	1	0.255	0.958
2	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(C(=O)NC3CCCCC3)c3ccccc23)CC1	1.0	0	0.14	0.964
2	CS(=O)(=O)Nc1cc(NC(=O)Nc2ccc(Cl)cc2)c2ccccc2	0.0	0	0.0	0.0
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(C)cc1	1.0	1	0.439	0.959
2	CC(=O)C1=C(O)C(=O)N(c2ccc(F)cc2F)C1c1ccccc1	1.0	1	0.367	0.945
3	CC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnc(C)cc2)cc1	1.0	1	0.212	0.977
