Epoch	SMILES	Valid	Desired	ROCS_CCR2_SDF	ROCS_Model3-4_SQ	SA
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1cc2c(cc1)CCNC2	1.0	0	0.904	0.075	0.961
1	COc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(OC)cccc32)ccc1	1.0	0	0.904	0.083	0.958
1	COc1c(Oc2ccccc2C)cccc1C(=O)c1ccc(Cl)cc1	1.0	0	0.94	0.084	0.986
1	Cc1ccc(Oc2ccc(C(=O)NC3CCOCC3)cc2)cc1	1.0	0	0.76	0.049	0.988
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)CC(C)(C)C)c3c2cccc3)CC1	1.0	0	0.618	0.053	0.96
1	O=C(O)c1c(Oc2c(Cl)cccc2NS(=O)(=O)c2ccc(Cl)cc2)cccc1	1.0	1	0.994	0.103	0.98
1	COC(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.789	0.074	0.975
1	CC(=O)C1=C(O)C(=O)N(c2cc(F)c(F)cc2)C1C1CCCCC1	1.0	0	0.999	0.095	0.906
1	COc1nc(Br)cnc1NS(=O)(=O)c1cccc(Cl)c1	1.0	0	0.944	0.083	0.963
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2CCN(C)C	1.0	1	0.938	0.104	0.935
1	CCCn1c(O)nc2c1cc(OC)c(NS(=O)(=O)c1c(Cl)c(Cl)ccc1)n2C	0.0	0	0.0	0.0	0.0
1	O=S(=O)(Nc1ncc(Cl)nc1OCc1cc(Br)ccc1)c1ccccc1	1.0	0	0.902	0.09	0.969
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)[nH]2	1.0	0	0.969	0.093	0.947
1	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2cc(F)c(Cl)cc2F)cc1	1.0	0	0.954	0.08	0.963
1	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccc2)cc1	1.0	0	0.862	0.063	0.977
1	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1	1.0	0	0.954	0.089	0.967
1	CC(C)(c1ncco1)c1ccccc1S(=O)(=O)Nc1ccc(Cl)cc1C	1.0	0	0.928	0.076	0.941
1	COc1c(C)nc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	0	0.791	0.094	0.933
1	Cc1cc(O)c2N=C(Nc3c(Br)cccc3)NS(=O)(=O)c2c1	1.0	0	0.9	0.056	0.864
1	COc1c(Cl)ccc(NS(=O)(=O)c2ccc(Cl)cc2)c1O	1.0	0	0.956	0.071	0.979
1	CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.952	0.069	0.981
1	CC(=O)C1=C(O)C(=O)N(c2cc(C)ccc2)C1C1CCCCC1	1.0	0	0.999	0.092	0.922
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(Br)cc1	1.0	0	0.999	0.089	0.953
1	C(=O)c1cccc(S(=O)(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c1	1.0	0	0.85	0.058	0.977
1	COc1c2c(NS(=O)(=O)c3ccc(Cl)s3)nn(Cc3ccnc(NCCCO)c3)c2ccc1	1.0	0	0.723	0.053	0.922
1	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1	1.0	0	0.954	0.089	0.967
1	COc1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2cc1C	1.0	0	0.671	0.045	0.983
1	C=CCN(C(=O)OCc1ccc(C#N)cc1)C1CCN(CCC2(c3cccc(F)c3)CCN(C(=O)c3cc(S(=O)(=O)NC(C)(C)C)c(F)cc3Cl)CC2)CC1	1.0	0	0.005	0.005	0.759
1	C=CCN(C(=O)Nc1ccc(F)cc1)C1CCN(CCC2(c3cccc(F)c3)CCN(C(=O)c3cc(S(=O)(=O)NC(C)(C)C)c(F)cc3Cl)CC2)CC1	1.0	0	0.005	0.005	0.802
1	N#Cc1cccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1	1.0	0	0.338	0.042	0.94
1	COc1ccc(Cn2nc(NS(=O)(=O)c3cccc(Cl)c3)c3c2cccc3)cc1O	1.0	0	0.93	0.062	0.969
1	Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1	1.0	0	0.95	0.089	0.982
1	COc1ccc(N2C(=O)C(O)=C(C(C)=O)C2C2CCCCC2)cc1	1.0	0	0.999	0.094	0.931
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(NCc3ccccc3)c3ccccc23)CC1	1.0	0	0.673	0.053	0.972
1	CS(=O)(=O)Nc1cc(NS(=O)(=O)c2ccc(N3CCCC3)cc2)ccc1	1.0	0	0.839	0.067	0.983
1	Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(C#N)cc1	1.0	0	0.943	0.077	0.973
1	CC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])c(C)cc2)cc1	1.0	0	0.872	0.062	0.954
1	Cc1[n+]([O-])cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3cnco3)cc2)cc1	1.0	0	0.653	0.071	0.862
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2c(Cl)cccc2C(=O)c2ccncc2)cc1	1.0	0	0.939	0.098	0.973
1	N#Cc1cccn1CCC(NS(=O)(=O)c1cc(Cl)c(N)c(Cl)c1)C(=O)N1CCCC1	1.0	0	0.818	0.068	0.821
1	CCNc1c2ccccc2nc2ccc(N=C=S)cc12	1.0	0	0.927	0.056	0.954
1	COc1nc(CO)c(Cl)nc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.965	0.089	0.935
1	COc1c(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nccc1	1.0	0	0.955	0.089	0.973
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(OCc3ccccc3)c3c2cccc3)CCO1	1.0	0	0.669	0.063	0.885
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	0	0.922	0.086	0.95
1	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.949	0.092	0.983
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1	1.0	0	0.859	0.084	0.973
1	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)cccn1	1.0	0	0.956	0.079	0.979
1	Cc1ccc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	1	0.887	0.101	0.962
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(CN)cccn2)cc1	1.0	0	0.907	0.086	0.967
1	C=CCOc1c(Cl)cc(Cl)cc1S(=O)(=O)NC1(C(=O)O)Cc2c(cccc2)CCNC1	1.0	0	0.71	0.053	0.794
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Br)cc1	1.0	0	0.951	0.09	0.981
1	CCCCCCCc1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(N(C)C(=O)CC)c1	1.0	1	0.988	0.126	0.878
1	COc1ccc(C=Cc2ccc3ccc(C(=O)O)cc3c2)cc1	1.0	0	0.892	0.056	0.986
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)c(Cl)c1	1.0	1	0.99	0.102	0.963
1	CN(C)c1c(S(=O)(=O)Nc2ccc(Br)cc2)cccc1	1.0	0	0.935	0.068	0.985
1	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.953	0.091	0.955
1	O=C(C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1c1cc(Br)ccc1)c1ccccc1	1.0	1	0.994	0.2	0.925
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	0	0.922	0.086	0.95
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1ccccc1	1.0	0	0.929	0.07	0.965
1	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(C)C)cc2)ccn1	1.0	0	0.865	0.067	0.972
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(F)c1	1.0	0	0.989	0.1	0.965
2	COc1nc(Cl)cnc1NS(=O)(=O)c1ccccc1C	1.0	0	0.962	0.073	0.968
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCCC2)cc1	1.0	0	0.923	0.079	0.975
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc2nonc12	1.0	0	0.978	0.088	0.935
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C#N)c3c2C(=O)N(Cc2cnccc2)C3=O)cc1	1.0	0	0.761	0.071	0.94
2	O=C(O)c1c(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)s2)cccc1	1.0	0	0.974	0.089	0.974
2	Cc1nn(Cc2ccc(C(F)(F)F)cc2Cl)cc1OCC1CC1CCN(C)C(=O)c1ccncc1c1	0.0	0	0.0	0.0	0.0
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])c(C)cc2)cc1	1.0	0	0.904	0.063	0.947
2	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(C(F)(F)F)c1	1.0	0	0.921	0.065	0.946
2	O=S(=O)(c1ccc(Cl)c(Cl)c1)S1(=O)=OCCCN1C	0.0	0	0.0	0.0	0.0
2	O=S(=O)(Nc1cc(F)ccc1Cn1ccnn1)c1ccc(Cl)cc1	1.0	1	0.987	0.101	0.969
2	C=CCOc1c(Cl)cc(Cl)cc1S(=O)(=O)NC1CCN(C(=O)OC)CC1F	1.0	0	0.803	0.068	0.715
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(C(F)(F)F)c1	1.0	1	0.991	0.152	0.958
2	Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ncccc2)cc1	1.0	0	0.963	0.084	0.982
2	COc1nccnc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1	0.953	0.107	0.968
2	COc1nn(C)c2c1c(NS(=O)(=O)c1ccc(Cl)s1)oc12	0.0	0	0.0	0.0	0.0
2	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)ccc1	1.0	0	0.766	0.054	0.958
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2ccccc2)cc1	1.0	0	0.92	0.09	0.981
2	O=S(=O)(Nc1cc(F)ccc1Cn1ccnn1)c1ccc(Cl)cc1	1.0	1	0.987	0.101	0.969
2	CCOC(=O)N1CCC(NS(=O)(=O)c2cccc3c2cccc3NC(=O)c2ccccc2)CC1	1.0	0	0.618	0.055	0.974
2	O=S(=O)(Nc1ncc(Cl)nc1OCc1cc(Br)ccc1)OCCOc1cccc(Cl)c1[BH-]	1.0	0	0.005	0.005	0.817
2	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1C1	0.0	0	0.0	0.0	0.0
2	C=CCN(C(=O)Nc1ccc(C#N)cc1)C1CCN(CCC2(c3cccc(F)c3)CCN(C(=O)c3cc(S(=O)(=O)NC(C)(C)C)c(F)cc3Cl)CC2)CC1	1.0	0	0.005	0.005	0.774
2	COc1ncc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	0	0.805	0.093	0.942
2	CC(=O)C1=C(O)C(=O)N(c2cc(F)c(F)cc2)C1C1CCCCC1	1.0	0	0.999	0.095	0.906
2	O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	0	0.914	0.085	0.976
2	CC(C)(C)NC(=O)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	0	0.862	0.057	0.974
2	O=C(O)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1	1.0	1	0.932	0.116	0.959
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(C)cc1)N1CCCCC1)	0.0	0	0.0	0.0	0.0
2	Nc1nn2c(O)c(Cc3ccc(Cl)c(Cl)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.166	0.915
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccc2)cc1	1.0	0	0.862	0.063	0.977
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)cn1	1.0	0	0.984	0.098	0.945
2	COc1ccccc1Cc1c(O)n2nc(N)nc2nc1C1CC1	1.0	1	1.0	0.149	0.927
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)cc3)c3c2cccc3)CC1	1.0	0	0.524	0.046	0.971
2	CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1ccc(Cl)cc1	1.0	0	1.0	0.092	0.958
2	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(F)(F)F)cccc32)ccc1	1.0	0	0.68	0.06	0.926
2	COc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cnc1	1.0	0	0.764	0.092	0.939
2	C=CCOc1c(Cl)cc(Cl)cc1S(=O)(=O)NC1CCN(Cc2ccc3cc(C)ccc3c2)CC1	1.0	0	0.593	0.055	0.95
2	CC1CCN(C(=O)C(CCn2ccnn2)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	0	0.792	0.072	0.826
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(Cl)c1	1.0	0	0.989	0.098	0.966
2	CNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	0	0.631	0.047	0.967
2	COc1ccc(C(C(=O)NCCC(C)(C)C)c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)cc1	1.0	0	0.662	0.051	0.946
2	COc1c(Oc2cccc(C(=O)Nc3ccncc3)c2)ccc(C(=O)c2ccccc2)c1	1.0	0	0.658	0.05	0.983
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccncc3)c3c(sc3c2)C(C)C(=O)O)CC1	1.0	0	0.005	0.005	0.798
2	C=CCN(C(=O)CCc1ccc(C#CCCCCCC)cc1)C1CCN(CCCOc2ccc(Br)cc2)CC1	1.0	0	0.005	0.005	0.931
2	C=CCN(C(=O)OCc1ccc(F)cc1)C1CCN(CCC(C)(C)C)CC1	1.0	0	0.742	0.046	0.959
2	Cc1cc(NS(=O)(=O)c2cc(C(F)(F)F)c(Cl)cc2)c(C(=O)c2ncncc2)cc1	1.0	0	0.931	0.088	0.954
2	CCCCCc1nc2nc(O)nn2n1N	1.0	1	0.985	0.106	0.658
2	CC(=O)C1=C(O)C(=O)N(c2cc(C)c(C)cc2)C1C1CCCCC1	1.0	0	0.999	0.094	0.916
2	O=C(O)c1c(Oc2c(Cl)cccc2NS(=O)(=O)c2ccc(Cl)s2)ccc1	0.0	0	0.0	0.0	0.0
2	CC(C)NS(=O)(=O)c1ccc(Cl)cc1C(=O)c1cc(Cl)ccc1	1.0	0	0.92	0.062	0.979
2	CCOC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1c1cc(Cl)ccc1	1.0	1	1.0	0.115	0.95
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2ccccc2)cc1	1.0	0	0.92	0.09	0.981
2	COc1ccc(NS(=O)(=O)c2ccc(N3C(=O)c4c(cccc4)C3=CC(C)(C)CC3NC(=O)C3)cc2)cc1	1.0	0	0.005	0.005	0.802
2	Cc1nnnn1Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.983	0.102	0.962
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)c2ccncc2)cc1	1.0	0	0.95	0.097	0.976
2	COc1cccc2c1ncc(C(=O)O)n2Cc1ccc(Cl)cc1	0.0	0	0.0	0.0	0.0
2	CCc1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	1	1.0	0.158	0.935
2	COc1nc(Br)cnc1NS(=O)(=O)c1cccc(Cl)c1	1.0	0	0.944	0.083	0.963
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc2c1oc1cccc(Cl)c12	1.0	1	0.971	0.124	0.919
2	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1-	0.0	0	0.0	0.0	0.0
2	CCCNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc23)CC1	1.0	0	0.005	0.005	0.966
2	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cnccc2)cc1	1.0	0	0.948	0.076	0.983
2	COc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1	1.0	0	0.929	0.088	0.981
2	O=S(=O)(Nc1cc(Cl)ccc1C(=O)c1ccccc1)c1cnccc1	1.0	0	0.969	0.092	0.984
2	Cc1ncc(-c2cc(C(=O)O)ccc2C)cc1	1.0	0	0.944	0.046	0.988
2	COc1ccccc1Cc1c(O)n2nc(N)nc2nc1C1CC1	1.0	1	1.0	0.149	0.927
2	CC(=O)C1=C(O)C(=O)N(c2cc(C)c(C)cc2)C1C1CCCCC1	1.0	0	0.999	0.094	0.916
2	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cccn1	1.0	0	0.871	0.08	0.968
2	O=C(O)CCn1cc(C(=O)c2ccccc2)c2ccccc21	1.0	0	0.902	0.073	0.987
2	Cc1ccncc1	1.0	0	0.434	0.025	0.992
2	COc1ccc(NC(=O)NCc2ccc(C(=O)Nc3ccccc3)cc2)cc1	1.0	0	0.585	0.037	0.992
2	CC1CCCN(CC(=O)N2CC(=O)Nc3ccc(Cl)cc32)C1	1.0	0	0.961	0.067	0.918
2	CCOc1cnc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c(C#Cc2cccc3c2OCCO3)c1	1.0	0	0.835	0.055	0.912
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc2c1ccc(O)cc2	0.0	0	0.0	0.0	0.0
2	Oc1cc(CSc2ccc(F)c(F)c2)nc2nc(Cc3ccccc3)nn12	1.0	0	0.882	0.06	0.945
2	NC(=O)C1CC(F)CN1C(=O)C(c1ccccc1)c1ccccc1	1.0	0	0.962	0.083	0.898
2	Cc1ccc(N2C(=O)C(O)=C(C(=O)C(C)C)C2c2ccc(C(C)(C)C)cc2)cc1	1.0	0	0.998	0.098	0.928
2	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3c(F)cccc3)c3c2cccc3)CC1	1.0	0	0.57	0.049	0.968
2	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(F)c(C(=O)c3cccnc3)c2C(C)(C)O)cc1	1.0	0	0.575	0.052	0.942
2	COC(=O)c1c(-c2cc(Cl)ccc2)cncc1N(C)C	1.0	0	0.954	0.074	0.966
2	Oc1cc(CSc2cccc(F)c2F)nc2nc(C3CCCCC3)nn12	1.0	0	0.936	0.07	0.909
2	CCCc1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	1	1.0	0.185	0.934
2	COc1c(C)nc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cc1	1.0	0	0.791	0.094	0.933
2	CC(=O)Nc1ccc(S(=O)(=O)NCCc2ccccc2)cc1	1.0	0	0.873	0.053	0.991
2	O=S(=O)(Nc1cc(Cl)ccc1Cn1nnnc1C1CC1)c1ccc(Cl)c(Cl)c1	1.0	1	0.994	0.161	0.955
2	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)[nH]2C(C)O1	0.0	0	0.0	0.0	0.0
2	Nc1nn2c(O)c(Cc3cccc(I)c3)c(C3CC3)nc2n1	1.0	1	1.0	0.149	0.891
2	O=S(=O)(Nc1ncc(Cl)nc1OCc1ccccc1)C1CC1	1.0	0	0.931	0.058	0.959
2	Cc1[n+]([O-])cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1	1.0	0	0.842	0.07	0.94
2	CN(C)C(=O)C(CCn1cccc1C#N)NS(=O)(=O)c1cc(Cl)c(Cl)s1	1.0	0	0.916	0.064	0.733
2	CNC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccncc3)c3ccccc23)CC1	1.0	0	0.629	0.058	0.962
2	CS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(Br)cc2C(=O)c2ccncc2)cc1	1.0	0	0.917	0.065	0.975
2	COc1c(NS(=O)(=O)c2c(Cl)c(Cl)ccc2)nc2nc(O)[nH]c2c1	1.0	0	0.982	0.096	0.917
2	O=C(c1cccnc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2cocn2)cc1	1.0	0	0.841	0.077	0.956
