Epoch	SMILES	Valid	Desired	CDPKit_ROCS_Aggregate_5refs_TanimotoCombo	SA
1	O=C(CNC(=O)c1ccco1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1	1.0	0	0.716	0.977
1	Cc1nc2cc(-c3ccccc3)nn2c(C)c1CCC(=O)NCCCO	1.0	0	0.826	0.97
1	Cc1cc(C)cc(Cn2ccnc2SC(C)C(=O)OC(C)(C)C)c1	1.0	0	0.894	0.909
1	COc1cc2c(cc1O)C(c1cccc(OCCN(CCCCN)c3cccc(O)c3)c1)NC(=O)C2	1.0	0	0.0	0.818
1	NCCCNS(=O)(=O)c1ccc2cc(-c3ccccc3)sc2c1	1.0	0	0.739	0.977
1	COC(=O)c1ccccc1NC(O)c1cc(O)n(-c2ccc(Cl)c(C)c2)c1	1.0	0	0.811	0.849
1	CC(C)c1cc(Cl)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1C	1.0	0	0.755	0.967
1	Cc1cccc(NC(=O)c2ccc(NC(C)(C)C)cc2)c1	1.0	0	0.721	0.989
1	Cc1cccc(S(=O)(=O)NC2CCC(CCn3cc(-c4ccc(C)cc4)nn3)CC2)c1	1.0	0	0.0	0.963
1	CC(=O)Nc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(CO)c4O)c4ccccc34)ccn2)ccc1Cl	1.0	0	0.0	0.903
1	C#CCN1Cc2c(sc3nc(-c4ccccc4)nnc23)CS1(=O)=O	1.0	0	0.853	0.789
1	O=C(NO)C1CN(c2ccc(C#Cc3cncnc3)cc2)C(=O)O1	1.0	0	0.638	0.824
1	O=c1cccccc1OCC(O)CN1CCCCC1	1.0	0	0.827	0.954
1	CCOC(=O)C(Cc1ccc(O)c(C(=O)OC)c1)N(C)CCCCCCC(=O)O	1.0	0	0.728	0.907
1	CCCC(CC)=NNC(=O)CCCSc1ccc(C(F)(F)F)cc1	1.0	0	0.749	0.95
1	COc1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)CC2CCC2)c1	1.0	1	0.909	0.982
1	O=c1[nH]c(=O)n(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(n4cnc(I)n4)C(O)C3O)C(O)C2O)cc1-c1cccc(O)c1	1.0	0	0.0	0.076
1	Cc1cc(N)nc(CCc2cccc(C(C)=NOCCCO)c2)c1	1.0	0	0.809	0.946
1	CCS(=O)(=O)c1ccc(O)c(NC(=O)COc2ccc(-c3ccccc3)cc2)c1	1.0	0	0.755	0.983
1	CC(C)Oc1ccc(NC(=C[N+](=O)[O-])N2CCCCC2)cc1Cl	1.0	0	0.846	0.949
1	Cc1nc(O)nc(SCc2cccc(Cl)c2)n1	1.0	1	1.121	0.955
1	O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cn2cc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2n1	1.0	0	0.0	0.897
1	CN(Cc1cnn(C)c1)c1cc(NC(=O)c2nc3ccccc3s2)ccc1NS(C)(=O)=O	1.0	0	0.0	0.936
1	CCC(C(=O)NNC(=S)NCc1ccco1)c1ccccc1	1.0	0	0.856	0.939
1	O=C(C=Cc1cnccc1-c1cccc(F)c1)Nc1ccc(F)cc1	1.0	0	0.787	0.978
1	COCC(=O)N1C(CO)C(c2ccccc2)C12CN(C(=O)CCN1CCOCC1)C2	1.0	0	0.755	0.576
1	COC(=O)C1C(=O)C(=Cc2ccc(C(=O)O)cc2)N=C1C	1.0	0	0.887	0.902
1	CN(c1ccc(OCC(=O)NCc2ccccc2)cc1)S(=O)(=O)c1ccccc1	1.0	0	0.689	0.987
1	O=C(Cn1ccnc1C(=O)OCc1cccc([N+](=O)[O-])c1)Nc1ccc(F)cc1F	1.0	0	0.884	0.961
1	CCCC(NN)c1ccc(Cl)cc1	1.0	1	0.973	0.951
1	Cc1ccccc1NC(=O)c1cnn2c(C(F)F)cc(C)nc12	1.0	0	0.865	0.97
1	COCCCNC(=O)c1ncoc1-c1ccccc1	1.0	0	0.882	0.979
1	CCCCN(CC)Cc1c(C(=O)N2CCN(C)CC2)nc2c(C)cccn12	1.0	0	0.823	0.953
1	COCC(=O)NC(Cc1ccc2cc(OCc3ccc(C)nc3)ccc2c1)c1ccccc1	1.0	0	0.0	0.935
1	Oc1ccccc1C(Cl)C12CCN(CCc3ccccc3)CC1CCO2	1.0	0	0.792	0.656
1	COc1ccc(C(=O)Nc2ccc(SC(F)F)cc2)cc1OC1CCN(C(=O)NC2CCCCC2)C1	1.0	0	0.0	0.898
1	CN(C(=O)c1ccccc1C(=O)O)C1CCC2C3CCC4N(C)C(=O)CC4(C)C3CCC12C	1.0	0	0.0	0.336
1	CCc1nocc1C(=O)Nc1nc(-c2ccc(Cl)s2)cs1	1.0	0	0.778	0.924
1	C=CC(=O)Nc1cccc(OC(=O)c2cc(Nc3cccc(C(F)(F)F)c3)c3c[nH]nc3c2)c1	1.0	0	0.0	0.923
1	CCn1ncc([N+](=O)[O-])c1C(=O)NC(C)C	1.0	0	0.854	0.96
1	CN(c1ccc(C(=O)NCCCN2CCCCC2)cc1)S(=O)(=O)c1ccccc1	1.0	0	0.666	0.982
1	O=S(=O)(NCCNc1ncccc1-c1ccccc1)C12CCNC1C2	1.0	0	0.728	0.649
1	Fc1cccc(Cl)c1Cn1nnc(-c2ccccc2)n1	1.0	1	0.925	0.981
1	O=C(c1ccccc1)c1csc(Cc2ccc(F)cc2)n1	1.0	1	1.025	0.985
1	CCCN(C(=O)c1ccc(F)cc1)c1ccccc1C	1.0	0	0.883	0.988
1	O=C(NC(=S)Nc1ccc2c(c1)Cc1ccccc1-2)c1ccccc1	1.0	0	0.893	0.985
1	Cc1ccc(S(=O)(=O)NC(=O)C2(C)CCN2C(=O)Cc2ccc(-c3cnccn3)cc2)cc1	1.0	0	0.0	0.881
1	CC1CCN(c2nc(C(F)(F)F)nc3c2CCN=C3)CC1	1.0	1	0.921	0.834
1	CCCN(CC1Cc2c(cccc2N2C(=O)NCC2C)C1=O)c1cc(Cl)c(C#N)c(Cl)c1	1.0	0	0.0	0.482
1	O=C(c1ccccc1)C(C(=O)c1ccccc1)n1nc(-c2ccccc2)c2cc(Cl)ccc21	1.0	0	0.0	0.968
1	COc1ccc(C(=CCCN(C)C)c2ccc(OCCN(C)C)cc2F)cc1	1.0	0	0.831	0.963
1	Cc1nn(-c2ccccc2)c(C)c1C1(C(=O)O)CCC1	1.0	1	0.911	0.964
1	CCOC(=O)c1c(C)c(C(=O)NCc2ccc(OC)c(Br)c2)c(C)[nH]1	1.0	0	0.81	0.976
1	CN(CCCOc1ccc2ccccc2c1)CCCNC(=O)c1cnccn1	1.0	0	0.683	0.974
1	O=C1Nc2ccccc2CN1CCN1CCC(Cc2c[nH]c3ccc(F)cc23)CC1	1.0	0	0.745	0.949
1	COc1ccc(NC(=O)COc2ccc(-c3ccc(C)cc3)cc2Cl)cc1	1.0	0	0.683	0.99
1	Cc1ccccc1-n1nc(C)c2c1NC(=O)C(C)S2	1.0	1	0.9	0.811
1	CN1Cc2ccnc(N)n2C1=O	0.0	0	0.0	0.0
1	O=C(CSc1nc(O)c2ccccc2n1)Nc1cccnc1	1.0	0	0.899	0.977
1	Cc1c(OCCCCN2CCC(Nc3nc4ccccc4n4nccc34)CC2)cccc1CS(=O)(=O)O	1.0	0	0.0	0.91
1	O=C(COC(=O)c1ccccc1C(F)(F)F)Nc1ccccc1	1.0	0	0.769	0.99
1	CCOc1ccc(NS(=O)(=O)c2ccc3c(c2)oc(=O)n3C)cc1	1.0	0	0.823	0.979
1	O=C(NCc1cnccn1)c1cc(NC(=O)c2cc(-c3ncccc3F)ccc2Cl)n(-c2cccc(C(=O)O)c2)n1	1.0	0	0.0	0.925
1	CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C	1.0	0	0.731	0.332
1	O=C(C(Cl)Cl)N1CCc2ccccc21	1.0	0	0.683	0.975
1	CC1=C(C(=O)OCCOC(=O)C23CC4CC(CC(C4)C2)C3)CCCC1=O	1.0	0	0.753	0.538
1	COc1ccc(NC(=O)Nc2nc3cnn(Cc4ccc5c(c4)OCCO5)c3n2CCCN2CCN(c3cccc(Cl)c3)CC2)cc1	1.0	0	0.0	0.885
1	Cc1cc(C2CCN(CCO)CC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)ccnc3O)nc12	1.0	0	0.0	0.754
1	Cc1ccc(CCNS(=O)(=O)c2ccc(C)c(F)c2)cc1	1.0	0	0.889	0.989
1	CC(=O)NC1C(Oc2ncc(-c3ccc(C#N)cc3)cn2)C2C(CO)OC(=O)C2O1	1.0	0	0.757	0.333
1	O=C(Cc1ccccc1)N1CCN(c2ccc(Cl)c(Cl)c2)CC1	1.0	1	0.976	0.989
1	CCCCOc1ncccc1C(=O)Nc1cccc(CN2CCC(C(=O)O)C2)c1	1.0	0	0.706	0.946
1	Cn1c(CC(=O)Nc2ccccc2F)cc2ccccc21	1.0	0	0.894	0.985
1	O=C(O)c1cc(Cl)ccc1NC(=O)c1cccc(O)c1	1.0	0	0.897	0.99
1	COC(=O)c1cc(CSc2ncnc3sc(C)c(C)c23)on1	1.0	0	0.872	0.94
1	CCc1ccc(OCC(=O)Nc2c3c(nn2-c2cccc(C)c2)SCC3)cc1	1.0	0	0.883	0.95
1	Oc1cccc(OCCNCc2ccccc2)c1	1.0	0	0.826	0.991
1	CCOC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(CO)c2)cc1	1.0	0	0.807	0.986
1	CN(C)C(=O)Oc1ccc([N+](=O)[O-])cc1	1.0	0	0.799	0.986
1	COc1cccc(OCc2ccnc3c2CCCC3N(C)c2ccc(S(C)(=O)=O)cc2)c1	1.0	0	0.0	0.867
1	CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3cc(C(F)(F)F)ccc3Cl)cn2)cc1	1.0	0	0.0	0.941
1	CC1=NCCN1c1ccc(Cl)c(C(=O)Nc2ccc3c(c2)-c2nnn(C)c2CN3)c1	1.0	0	0.675	0.867
1	Cc1cc(C(=O)OCC(=O)N2CCc3ccccc32)ccc1[N+](=O)[O-]	1.0	0	0.734	0.98
1	CCOC(=O)c1cccc(C(C)(C)NC(=O)c2ccccc2Cl)c1	1.0	0	0.84	0.984
1	COCCOc1[nH]nc(-c2cc(C(=O)N3CC(C)N(C(=O)CO)CC3)c(S(C)(=O)=O)cc2Br)c1Br	1.0	0	0.0	0.641
1	Cc1nnc(SCC(=O)NN2C(=O)NC(C)(C)C2=O)n1C	1.0	1	0.915	0.93
1	CCCN1CCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21	1.0	0	0.663	0.974
1	CCOC(=O)C(CCCOc1c(C)cc(Cl)cc1Cl)C(=O)OCC	1.0	0	0.751	0.966
1	CCCCCC(NC(=O)c1ccc([N+](=O)[O-])cc1)C(=O)NC(C)(C)C	1.0	0	0.728	0.957
1	CCOc1ccc(C=NNC(=O)C(=O)Nc2ccccc2C(F)(F)F)cc1O	1.0	0	0.752	0.968
1	Cc1ccccc1COc1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCOCC5)cc4c3)n2)c1	1.0	0	0.0	0.934
1	O=C(c1cc(-c2ccccc2Cl)nc2ccccc12)N1CCOCC1	1.0	0	0.808	0.985
1	Cc1cc(Cl)ccc1NC(=O)c1sc2ncnc(N3CCN(c4ccc(F)cc4)CC3)c2c1F	1.0	0	0.0	0.952
1	COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN	1.0	0	0.746	0.96
1	CN1CCN(c2cc(-c3ncccc3F)cc(NC(=O)c3ccccc3)c2)CC1	1.0	0	0.682	0.977
1	O=C(Nc1nnc(SCc2ccccc2)s1)c1cccs1	1.0	0	0.818	0.982
1	CS(=O)(=O)Nc1cc(C(=O)NCc2ccc(Cl)cc2)ccc1OC(F)(F)F	1.0	0	0.822	0.979
1	COc1ccccc1NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Sc1ccccc1	1.0	0	0.845	0.976
1	CN1C(=O)Cc2cc(C=Cc3cc(Cl)cc(Cl)c3)ccc21	1.0	0	0.733	0.964
1	CCCOc1ccc(NS(=O)(=O)c2ccc(F)c(C(=O)Nc3cccc(C)c3C)c2)cc1	1.0	0	0.0	0.981
1	Cc1cc(C)n(C(=O)CSc2nc3c(c(=O)n2-c2ccccc2)SCC3)n1	1.0	0	0.838	0.93
1	Cc1c(C)n(C(C)c2ccccc2)c2nc(-c3ccccc3Cl)nc(-c3nn[nH]n3)c12	1.0	0	0.0	0.842
1	CCOc1nn(S(=O)(=O)c2ccc(C)cc2)c2ccccc12	1.0	1	1.015	0.976
1	Cc1ccc(Cl)cc1NC(=O)CNc1ccc(N2CCN(Cc3ccccc3)CC2)cc1	1.0	0	0.0	0.984
1	Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)c1cccc(Cl)c1	1.0	0	0.743	0.967
1	Fc1cccc(CN2CCCNCCCCC2)c1	1.0	0	0.855	0.969
1	CCC(=O)Nc1nc(C)c(OC)c(OC)n1	1.0	0	0.763	0.964
1	Cc1cccc(OCCCCN2CCN(C)CC2)c1	1.0	0	0.856	0.989
1	CCn1c(SCc2nc(O)c3ccccc3n2)nnc1-c1ccoc1	1.0	1	0.924	0.943
1	O=C(NC1CCCCC1)c1cccc2cc(Oc3ccccn3)cnc12	1.0	0	0.769	0.973
1	O=c1cccc2n1CC1CC(CCNCc3cccc(Cl)c3)=CC1O2	1.0	0	0.774	0.642
1	N#CCCC1(C(=O)OCc2cnccc2)Cc2ccccc2C1	1.0	0	0.877	0.941
1	Nc1ncc2cc(-c3ccc(NC(=O)C4CCCCC4)cc3)cnc2n1	1.0	0	0.738	0.973
1	CN1CCN(C(=O)Cc2cccc(NC(=O)Nc3ccc(Cl)cc3)c2)CC1	1.0	0	0.713	0.986
1	CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3CCOCC3)c(F)cc12	1.0	0	0.774	0.965
1	Brc1cc2[nH]cnc2cc1-c1nnc(N2CCOCC2)o1	1.0	1	0.921	0.911
1	CCN(C(=O)c1ccc(Cl)c(Cl)c1)c1cnccn1	1.0	1	1.048	0.973
1	Nc1nn(-c2ccccc2)nc1C=Nc1ncccn1	1.0	0	0.819	0.886
1	Cc1c(-c2nc3cc(Cl)c(Cl)cc3n2C(C)C)nc(C2CC2)n1CCC1CC1	1.0	0	0.893	0.902
1	CC(C)C(NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)P(=O)(O)O	1.0	0	0.825	0.927
1	COc1ccc(N(C(=O)c2ccccc2)C(C(=O)NC2CCCCC2)c2cc(OC)c(OC)c(OC)c2)cc1	1.0	0	0.0	0.918
1	CN(C)c1ccc(C(=O)Nc2ccc(N(C)C)nc2)cc1	1.0	0	0.767	0.984
1	CCC(NC(=O)C1OC(=O)C1C(C)C)C(=O)OCC	1.0	0	0.784	0.709
1	COc1ccc(NC(=O)NC2CCCCC2)cc1	1.0	0	0.8	0.992
1	CCc1cccc(NC(=O)CN2CCCC2c2cc(Cl)ccc2OC)c1	1.0	0	0.788	0.959
1	Cc1nnc(O)c(N)c1CSCC(=O)O	1.0	0	0.875	0.872
1	OC(C(CN1CCC(O)C1)(c1ccccc1)c1ccccc1)OC1COC2C(O)CC3OC32O1	1.0	0	0.0	0.073
1	CCOc1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	1.0	0	0.677	0.983
1	COc1ccc(-c2cc(C(F)(F)F)nc(S(=O)(=O)C(C)C)n2)cc1	1.0	0	0.875	0.961
1	CN(C)c1cc(NC(=O)Nc2ccc(F)cc2F)c2ccccc2n1	1.0	0	0.818	0.977
1	CCCCN(C(=O)c1ccccc1)C1CCC2C3CCC4N(C)C(=O)CCC4(C)C3CCC21C	1.0	0	0.0	0.42
1	O=S(=O)(c1ccccc1)N1CCN=C1SCc1ccccc1	1.0	1	0.927	0.976
1	Cc1ncc(CNS(=O)(=O)c2cccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2)cn1	1.0	0	0.0	0.949
1	COc1ccc(S(=O)(=O)N2CCCCc3ccccc32)cc1OC	1.0	1	0.916	0.985
1	COCC1CCN(S(=O)(=O)CCCn2ncc3cc(NCCN(C)C)ccc32)CC1	1.0	0	0.625	0.935
1	CN(C)c1cccc2c(S(=O)(=O)c3cccc(Cl)c3)cccc12	1.0	1	0.914	0.981
1	OCCN(Cc1ccccc1)Cc1ccccc1N1CCOCC1	1.0	0	0.807	0.983
1	Cc1ccc(C)c(OCC(=O)Nc2c(C(=O)c3ccccc3)oc3ccccc23)c1	1.0	0	0.85	0.979
1	Oc1nc(NCc2ccccn2)nc2c1nc(O)n2Cc1ccccc1	1.0	0	0.832	0.945
1	Oc1nc(SCc2ccccc2F)nc2c1oc1ccccc12	1.0	0	0.89	0.964
1	COc1cc(C(=O)Nc2ccc(F)c(C3(C(F)F)COCC(N)=N3)c2)nc(C)n1	1.0	0	0.729	0.729
1	[O-][n+]1ccc(CCN(c2ccc3ncccc3c2)c2ccc(Cl)cc2)cc1	1.0	0	0.838	0.948
1	CN(C(=O)Nc1ccccc1)N1CCCCC1	1.0	0	0.814	0.975
1	Cc1cccc(NC(=O)c2c(C)nn(-c3ccc(F)cc3)c2-n2cccc2)c1	1.0	0	0.831	0.972
1	Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3cnc4cc(C#N)cnc4n3)CC2)c1	1.0	0	0.0	0.906
1	Cc1ccc(NC(=O)Nc2cccc(Cl)c2Cl)cn1	1.0	0	0.801	0.985
1	COc1ncc(F)cc1C1CCCN1c1ccn2ncc(C(N)=O)c2n1	1.0	1	0.917	0.805
1	Cc1ccc(S(=O)(=O)N2CCCN(C(=O)CCc3ccncc3)CC2)cc1	1.0	0	0.774	0.982
1	CC(C)(O)c1ccc(-c2c(CCc3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cn1	1.0	0	0.0	0.874
2	O=C(O)c1[nH]c(NC(=O)c2cccs2)nc1-c1ccc(O)cc1	1.0	0	0.758	0.957
2	O=C(NCc1nnnn1-c1ccc(F)c(F)c1)C1CN(C(=O)C2CC2)CC1C(F)(F)F	1.0	0	0.0	0.711
2	COCCN(C)c1cncc(-c2noc3cc(NS(C)(=O)=O)ccc32)c1	1.0	0	0.727	0.934
2	Oc1ccccc1[SH2]S(=O)(=O)n1cccn1	1.0	0	0.0	0.67
2	CCc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	1.0	0	0.853	0.971
2	CCCn1c(O)nnc1SCC(=O)N1CCN(c2sccc2C(F)(F)F)CC1	1.0	0	0.864	0.893
2	O=C1C=CC(C=NNc2ncnc3cc(Br)ccc23)=CC1	1.0	0	0.805	0.868
2	O=S1(=O)CCCN1COP(=O)(O)O	1.0	0	0.672	0.779
2	COc1ccc(-c2ccc3ncc4c(c3n2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1	1.0	0	0.0	0.905
2	O=C(c1ccc(Cl)cc1)c1c(-c2ccccc2)oc2cccc(OCCCN3CCCCC3)c12	1.0	0	0.0	0.965
2	CC(=O)C1=C(O)C(=O)N(C2OC(CO)C(O)C(O)C2O)S1	1.0	0	0.879	0.325
2	COc1cc2c(cc1OC)CN(C(=O)c1ccno1)CC2	1.0	1	0.98	0.967
2	Cc1ccc(S(=O)(=O)NCCCCNc2ncnc3ccc(S(=O)(=O)c4ccccc4)cc23)cc1	1.0	0	0.0	0.965
2	OCCCc1cncc(OCC2CCN2)c1	1.0	0	0.783	0.897
2	Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CN3CCCCC3)CC2)c1	1.0	0	0.733	0.981
2	Cc1ccc(Cl)c(C)c1OC(=O)COC(=O)C=Cc1ccc(F)cc1	1.0	0	0.69	0.972
2	O=C(NSc1ccccc1)c1noc2c1CCC(Cc1ccccc1)O2	1.0	0	0.748	0.775
2	O=C1c2ccccc2CCC1C1SC(=S)N1CCc1ccccc1	1.0	1	0.926	0.831
2	Oc1[nH]cnc1CCNc1nc(Cl)nc2[nH]cnc12	1.0	0	0.865	0.78
2	O=C(CCCCc1nnc(NC(=O)Cc2ccccc2)s1)NO	1.0	0	0.658	0.977
2	CCc1nnc(-c2ccc(-c3ccc(Cl)c(Cl)c3)cc2)n1-c1cccc(OC(C)C)c1	1.0	0	0.0	0.97
2	N=C(N)c1ccc2c(c1)c(CC(=O)O)c(O)n2CC(=O)Nc1cccc(Br)c1	1.0	0	0.788	0.954
2	CC(C)NC(=O)C1COc2ccccc2O1	1.0	0	0.75	0.956
2	O=C1Nc2ccccc2C2CC12	1.0	0	0.708	0.894
2	CCSc1nc2sc3c(c2c(=O)n1CCC(N)=O)CCCC3	1.0	0	0.798	0.956
2	Cc1nc(NC(=O)c2ccccc2)nc(-n2nc(C)cc2O)c1C	1.0	0	0.828	0.956
2	CCN(CC)c1nc(C)nc(NS(=O)(=O)c2ccc(Cl)cc2)c1	1.0	0	0.88	0.969
2	Cc1cc(O)ccc1C1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O	1.0	1	0.922	0.947
2	CCOC(=O)c1cnc(SC)nc1SCC(=O)Nc1cccc(NC(C)=O)c1	1.0	0	0.789	0.965
2	CCOC(=O)c1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1	1.0	0	0.848	0.986
2	Cc1nnc(SCC(=O)N(C)C2C=S(O)(O)=CC2)o1	1.0	0	0.824	0.358
2	C#CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)sc2cc(Br)ccc21	1.0	0	0.0	0.947
