SMILES	Valid	Desired	CDPKit_ROCS_Aggregate_5refs_TanimotoCombo	SA	Total
O=C(O)c1ccc(S(=O)(=O)NCCc2ccccc2)cc1	1.0	0.0	0.847	1.592	1.2195000014305115
Nc1ncnc(NCc2cccc(F)c2)c1-c1ccc(Cl)cc1	1.0	0.0	0.879	2.119	1.499000004053116
CC1(F)CCN(c2ccc(Cl)cc2NC(=O)c2ccc(Cl)c(Cl)c2)CC1	1.0	1.0	0.904	2.292	1.5979999921321868
O=C(COC(=O)c1ccccc1)c1ccccc1	1.0	0.0	0.754	1.354	1.054000004053116
Cc1ccc(Cn2c(C)c(C)c3cccnc32)cc1	1.0	1.0	0.943	1.915	1.4290000092983246
O=C(CSc1nc(O)c2ccccc2n1)NCc1ccccc1	1.0	0.0	0.859	1.957	1.408000013589859
O=C(O)c1ccccc1OCc1ccccc1	1.0	1.0	0.955	1.358	1.1564999916553498
CC(C)c1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1	1.0	0.0	0.846	1.676	1.2610000078678132
Cc1ccccc1NC(=O)c1ccc(Cl)cc1	1.0	0.0	0.867	1.264	1.0654999918937684
O=C(Cn1ccc(=O)nc1)c1ccccc1	1.0	0.0	0.79	2.188	1.4890000107288361
Cc1ccc(C(=O)C2CCCN(C(=O)c3cccc(F)c3)C2)cc1C	1.0	1.0	0.908	2.359	1.6334999961853027
Cc1ccc(Br)cc1S(=O)(=O)NCc1cccnc1	1.0	0.0	0.832	1.94	1.3860000085830688
COc1ccc(Nc2ccc(Cl)cc2C(=O)c2ccccc2)cc1	1.0	1.0	0.91	1.676	1.293000013113022
Clc1ccc(SCc2cccc(C3CCNC3)c2)cc1	1.0	0.0	0.874	2.539	1.7065000064373017
COc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1	1.0	1.0	0.973	1.475	1.2239999949932099
Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.899	1.845	1.3719999945163726
O=S(=O)(c1cccc(Cl)c1)c1ccccc1O	1.0	1.0	0.937	1.856	1.3964999883174896
Cc1ccc(S(=O)(=O)c2ccc(Cl)cc2Cl)cc1	1.0	1.0	0.995	1.744	1.3695000023841857
O=C(O)c1ccccc1OS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.034	1.781	1.4075000195503233
Cc1ccc(C(=O)NCC(=O)OCC(=O)c2ccccc2)cc1	1.0	0.0	0.811	1.641	1.2259999947547913
Cc1nc(NC(=O)c2ccccc2)sc1Cl	1.0	0.0	0.883	1.921	1.4020000081062318
Clc1cccc(Oc2ccc(CN3CCCC3)cc2)c1	1.0	0.0	0.881	1.616	1.2484999911785126
Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1	1.0	1.0	1.013	1.611	1.3120000057220458
Cc1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	1.0	0.923	1.33	1.1264999890327454
COc1ccccc1C(=O)NCCCc1ccccc1	1.0	0.0	0.868	1.448	1.1579999854564667
NC(=O)c1ccc(F)c2c1C(=O)N(Cc1ccccc1F)C2=O	1.0	0.0	0.871	2.258	1.5644999959468842
O=S(=O)(NCc1cccc(Cl)c1)c1ccc(Cl)cc1F	1.0	1.0	0.929	1.86	1.3945000100135805
CCOc1cc(C)ccc1C1CC(=O)Nc2c(OCC)ccnc21	1.0	1.0	0.933	2.982	1.9575000140666963
Oc1nc(Cc2ccc(Cl)cc2)nc2ccccc12	1.0	1.0	1.014	1.928	1.4710000290870666
Oc1ccc(Oc2cccc(Cl)c2)cc1Cl	1.0	1.0	0.941	1.736	1.3384999923706054
Cc1cccc(C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)c1	1.0	0.0	0.803	1.769	1.2859999866485596
COc1ccc(S(=O)(=O)NC(=O)c2ccc(C)cc2)c(OC)c1	1.0	0.0	0.855	1.819	1.3370000095367431
COc1ccc(C(=O)c2ccccc2C)cc1	1.0	0.0	0.843	1.39	1.1164999973773955
O=C(CCCN1CCCCC1)c1ccc(Cl)cc1	1.0	1.0	0.926	1.671	1.298499999523163
Cn1c(=O)c2c(ncn2Cc2ccccc2)n2nc(Br)cc12	1.0	1.0	1.05	2.788	1.918999976158142
Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1	1.0	0.0	0.697	1.632	1.1645000133514403
CC1c2ccc(C(C)(C)C)cc2N(S)N1C(=O)c1ccc(F)cc1	1.0	0.0	0.834	3.199	2.0164999957084655
O=S(=O)(c1ccc(Cl)cc1)n1ccc2ccccc21	1.0	1.0	0.992	1.855	1.4234999918937683
CCCC(=O)c1ccc(N2CCNCC2)cc1	1.0	0.0	0.737	1.896	1.316499994277954
CC(C)(C)c1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.877	1.56	1.2184999871253968
Cc1cc(O)ccc1NC(=O)c1cc(Cl)ccc1Cl	1.0	0.0	0.842	1.696	1.2690000038146971
CCCC(=O)NCCc1ccc(Cl)cc1Cl	1.0	1.0	0.963	1.754	1.3584999997615814
O=C(O)c1ccc(COc2ccc(Cl)cc2Cl)cc1	1.0	0.0	0.867	1.546	1.2064999918937684
CC(C)Sc1nnc(NS(=O)(=O)c2ccc(Cl)cc2)s1	1.0	1.0	0.911	2.206	1.5585000066757202
Cc1cncnc1N(C)c1ccc(Br)cc1	1.0	1.0	1.008	2.325	1.6665000081062318
O=S(=O)(c1ccccc1)c1ccc(Cl)cc1	1.0	1.0	0.963	1.451	1.2069999997615815
NC(=O)c1cccc2ccccc12	1.0	0.0	0.676	1.443	1.0594999995231629
CCNc1ncc(CC(=O)Nc2ccc(Cl)c(Cl)c2)s1	1.0	1.0	0.973	2.183	1.5779999949932098
O=C(c1ccccc1)c1cc(Cl)ccc1OCc1cccc(Cl)c1	1.0	1.0	0.922	1.713	1.317499995470047
Cc1ncccc1Oc1ccc(S(=O)(=O)C(C)(C)C)cc1S(C)(=O)=O	1.0	0.0	0.857	2.495	1.67599999666214
O=C(Nc1cccc(Cl)c1)c1ccc(Br)cc1O	1.0	0.0	0.784	1.712	1.247999989748001
O=S(=O)(c1cccc(F)c1)c1ccc(O)cn1	1.0	1.0	0.967	2.229	1.5980000038146973
COc1ccc(C(=O)NCC(=O)NCc2ccc(C)cc2)cc1	1.0	0.0	0.818	1.552	1.1850000092983246
CC(=O)Nc1ccc(Cl)cc1NN=Cc1ccc(Br)cc1	1.0	0.0	0.82	2.066	1.4429999964237212
COc1ccc(S(=O)(=O)Nc2ccc(C)cc2)cc1N	1.0	0.0	0.865	1.736	1.3005000047683715
Fc1ccc(Oc2ccc(Cl)cc2)cc1Cl	1.0	1.0	0.987	1.545	1.265999994277954
CN(C)c1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.885	1.564	1.2244999952316284
Cc1ccc(NS(=O)(=O)c2ccc(Cl)c(Br)c2)cc1	1.0	1.0	0.906	1.809	1.357500009059906
Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1	1.0	0.0	0.862	1.442	1.1519999942779542
O=C(O)Cc1ccc(Cl)cc1Oc1cccc(Cl)c1	1.0	1.0	1.016	1.857	1.4365000162124635
Cc1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	0.953	1.637	1.295000004529953
COc1ccc(CNC(=O)c2ccc(O)cc2)cc1	1.0	1.0	0.94	1.442	1.1909999988079072
O=S(=O)(Nc1ccc(Cl)cc1)c1ncc(Cl)cc1Cl	1.0	1.0	0.963	2.143	1.5529999997615813
COc1ccc(Cl)c(Oc2cccc(Cl)c2O)c1CN(C)C	1.0	1.0	1.033	2.409	1.7209999961853026
Cc1ccc(S(=O)(=O)c2ccc(C)c(S(=O)(=O)c3ccc(Cl)cc3)c2)cc1	1.0	0.0	0.825	1.998	1.4114999940395356
CN(C)c1ncccc1S(=O)(=O)NCc1ccc(Cl)cc1	1.0	0.0	0.896	2.144	1.5200000138282777
CCCS(=O)(=O)c1ccccc1Oc1ccc(C)cc1NS(C)(=O)=O	1.0	0.0	0.876	2.215	1.5454999935626983
Oc1cc(Cl)ccc1Oc1ccc(Cl)c(Cl)c1Cl	1.0	1.0	1.039	2.08	1.5595000171661377
CC(=O)Nc1ccccc1C(=O)N1CCCC1c1ccc(F)cn1	1.0	0.0	0.892	2.602	1.7470000097751617
COc1ccc(C(=O)c2ccc(C)cc2)cc1	1.0	0.0	0.858	1.326	1.0919999902248383
Cc1ccc(C(=O)Nc2ccc(Cl)c(Cl)c2)cc1	1.0	1.0	0.947	1.394	1.1705000133514405
O=C(Nc1ccccn1)OCc1cccc(Cl)c1	1.0	1.0	0.97	1.777	1.3735000143051148
c1ccc(CSc2ccccc2)cc1	1.0	0.0	0.869	1.337	1.1030000088214873
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1S(=O)(=O)c1cccc(Cl)c1	1.0	1.0	0.973	2.128	1.55049999499321
O=S(=O)(ONc1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1	1.0	1.0	0.926	2.189	1.5574999995231629
O=C(O)c1ccccc1C(=O)c1ccccc1Sc1ccc(Cl)c(Cl)c1	1.0	1.0	1.036	2.064	1.5500000066757202
O=C(c1ccccc1)c1ccc(F)cc1Oc1ccc(Cl)cc1	1.0	1.0	1.015	1.705	1.3599999928474427
COc1ccc(CNC(=O)CNS(=O)(=O)c2ccc(F)cc2C)cc1	1.0	0.0	0.779	1.925	1.3519999921321868
COc1ccc(S(=O)(=O)NCc2cccc(C)c2)cc1	1.0	0.0	0.881	1.595	1.2379999911785124
O=C(Nc1ccccc1)c1ccc(O)nn1	1.0	0.0	0.871	1.896	1.383499995946884
Cc1ccc(NCc2ccnc(Oc3ccc(Cl)cc3)c2)cc1	1.0	0.0	0.818	1.84	1.3290000092983245
O=C(NCc1ccc(Cl)cc1)c1cc(Cl)ccc1O	1.0	1.0	1.044	1.609	1.326500014781952
Oc1ccccc1Oc1ccc(Cl)cc1	1.0	1.0	0.968	1.488	1.2279999973773956
Cc1ccc(C(=O)c2nccc3ccccc23)cc1	1.0	0.0	0.833	1.736	1.284500002145767
Nc1cccnc1Sc1ccc(Cl)c(Cl)c1	1.0	1.0	1.049	2.187	1.618000012397766
Cc1ccccc1CSc1ccc(C(=O)N(C)C)cc1	1.0	0.0	0.817	1.789	1.3029999859333037
CN(Cc1ccccc1)S(=O)(=O)c1cccc(O)c1	1.0	0.0	0.886	1.767	1.3264999887943267
O=C(c1ccccc1)c1ccccc1C(=O)c1ccc2ccccc2c1	1.0	0.0	0.833	1.708	1.2705000021457673
COc1cc(Cl)ccc1Oc1cccc(Br)c1	1.0	1.0	0.963	1.658	1.3104999997615814
Cc1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1CC(=O)O	1.0	1.0	0.942	1.956	1.4489999859333038
O=S(=O)(NCCc1ccc(Cl)cc1)c1ccccc1Cl	1.0	1.0	0.938	1.696	1.3170000116825102
Cc1ccc(CSC(=S)N2CCCCC2)cc1[N+](=O)[O-]	1.0	0.0	0.86	2.327	1.5935000071525574
Cc1ccc(CC(O)CCCCCCCCc2ccc(O)cc2)cc1O	1.0	0.0	0.59	2.561	1.5754999868869781
O=C(Nc1ccccc1C(=O)O)c1cccc(F)c1	1.0	0.0	0.878	1.492	1.1850000104904175
Cc1ccc(Cl)cc1NC(=O)c1ccc(Cl)cc1Cl	1.0	1.0	0.941	1.586	1.2634999923706056
Cc1cc(C(=O)c2ccc(F)cc2)c(C)n1-c1ccc(Cl)cc1	1.0	0.0	0.803	1.865	1.3339999866485597
Cc1ccc(C(=O)c2ccc(Br)cc2)cc1	1.0	1.0	0.92	1.413	1.1665000083446504
CCc1ccc(S(=O)(=O)Nc2ccccc2)cc1	1.0	1.0	0.916	1.449	1.1825000042915343
O=C(c1ccc(Cl)nc1)c1cccc(C(Cl)Cl)c1	1.0	1.0	1.011	2.32	1.665500018596649
O=S(=O)(Nc1ccncc1F)c1ccc(Cl)cc1	1.0	1.0	0.965	1.884	1.424499986886978
CCNC(=O)c1ccc(OCc2ccc(Cl)cc2)c(OCC)c1	1.0	0.0	0.86	1.702	1.2810000071525574
Cc1ccc(C(=O)c2cccc(P(=O)(O)O)c2)cc1F	1.0	1.0	0.964	2.269	1.6164999933242798
O=C(O)c1ncccc1Cc1ccc(Cl)c(Cl)c1	1.0	1.0	1.33	2.014	1.672000021457672
O=S(=O)(NCCCN1CCCC1)c1ccc(Cl)cc1	1.0	0.0	0.881	1.765	1.3229999911785124
CC(C(=O)NCCc1ccccc1)c1ccc(Cl)cc1	1.0	1.0	1.024	2.065	1.544500024318695
CC(Cc1ccccc1)NC(=O)c1ccccc1	1.0	0.0	0.766	1.804	1.2849999864101411
O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1	1.0	1.0	0.903	1.642	1.2724999985694885
O=C(NCc1ccco1)c1ccccc1Sc1ccc(Cl)c(Cl)c1	1.0	0.0	0.852	2.083	1.4674999990463258
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccc(Cl)c(Cl)c1	1.0	1.0	0.971	1.82	1.3955000078678133
CCc1ccc(Oc2ccc(OC)cc2C(=O)Sc2ccc(Cl)cc2)cc1	1.0	0.0	0.812	2.128	1.4699999883174897
Clc1cc(C2CCCCC2)ccc1OCCOc1ccc(Cc2ccccc2)cc1	1.0	0.0	0.594	1.973	1.283499990940094
c1ccc(Nc2ncnc3ccccc23)cc1	1.0	1.0	0.927	1.588	1.2574999930858612
O=S(=O)(O)c1cccc(OCc2cccc(Cl)c2)c1	1.0	1.0	0.967	1.766	1.3665000038146973
CC1=C(C)C(=O)C(Cc2ccc(Cl)cc2)=N1	1.0	1.0	1.028	2.487	1.7574999985694886
COc1cccc(NS(=O)(=O)c2ccc(C)cc2)c1	1.0	1.0	0.925	1.522	1.2235000059604646
O=C(c1ccccn1)N(Cc1ccc(Cl)cc1)c1ccc(Cl)c(F)c1	1.0	1.0	1.054	2.068	1.5610000100135804
Cc1ccc(S(=O)(=O)c2ccc(Cl)cc2C)cc1	1.0	1.0	1.019	1.738	1.3785000267028809
CS(=O)(=O)c1ccccc1CNC(=O)c1cccc(Cl)c1	1.0	1.0	0.924	1.781	1.352500012397766
O=C(Nc1cccc(Br)c1)c1ccccc1O	1.0	0.0	0.794	1.559	1.176500014781952
O=S(=O)(c1ccc(Cl)cc1Cl)n1cccn1	1.0	1.0	0.935	2.37	1.652500001192093
O=C(CCc1ccccc1)NO	1.0	0.0	0.818	1.517	1.1675000092983245
Fc1ccc(Oc2cccc(Br)c2)cc1Cl	1.0	1.0	0.932	1.72	1.3259999907016753
Cc1ccccc1NC(=O)c1ccc(Cl)cc1Cl	1.0	1.0	0.988	1.459	1.2234999878406525
O=C(Cc1ccc(F)cc1)Nc1ccc(Oc2ccccc2)cc1	1.0	0.0	0.778	1.535	1.1564999985694886
O=C(Nc1ccc(Cl)cc1)c1ccc(Cl)cc1Oc1ccccc1	1.0	1.0	0.923	1.636	1.2794999890327454
Cc1ccccc1CNC(=O)c1cccc(Oc2cccc(Cl)c2Cl)c1	1.0	0.0	0.809	1.863	1.3360000076293945
Nc1ccc(Oc2ccccc2)cc1	1.0	0.0	0.793	1.368	1.0804999914169313
COc1ccc(CSc2ncnc3ccccc23)cc1O	1.0	1.0	0.914	2.027	1.4704999873638154
O=C(NCc1ccccc1)c1cccnc1Oc1ccc(Cl)cc1Cl	1.0	1.0	0.933	1.845	1.389000014066696
O=S(=O)(NCCOc1ccccc1)c1ccccc1	1.0	1.0	0.954	1.528	1.2409999980926514
COc1ccccc1NS(=O)(=O)c1ccc(C(C)(C)C)cc1	1.0	0.0	0.873	1.71	1.2915000128746033
O=S1(=O)NCCCCNc2ccccc2O1	1.0	0.0	0.808	3.508	2.158000014066696
COCC(=O)Nc1ccccc1Oc1ccccc1	1.0	1.0	0.94	1.55	1.244999998807907
Cc1cc(Oc2ccc(Cl)c(Cl)c2)c(C)cn1	1.0	1.0	1.125	2.038	1.5815
O=C(O)CCCC(=O)NCCc1ccc(Cl)cc1	1.0	1.0	0.914	1.632	1.2729999873638151
O=C(NC(Cc1ccccc1)c1ccc(F)cc1)c1cc[nH]n1	1.0	0.0	0.872	2.702	1.7869999895095825
CC(=O)N1CCCC1Cc1cccc(F)c1C#N	1.0	0.0	0.859	2.88	1.869500013589859
O=S(=O)(NCCCc1ccccc1)c1ccccc1F	1.0	0.0	0.797	1.669	1.232999995470047
O=S(=O)(c1ccccc1)c1ccccc1Cl	1.0	0.0	0.854	1.566	1.2099999861717223
Cc1sc(Cc2ccc(Cl)c(Cl)c2)nc1O	1.0	1.0	1.041	2.439	1.7400000042915345
Cc1ccc(C(=O)Cc2ccc(Cl)cc2)c(C(=O)O)c1	1.0	1.0	1.042	1.774	1.4080000276565552
COc1ccnc(Oc2ccc(Cl)cc2N)c1C	1.0	1.0	1.026	2.144	1.5850000114440919
CS(=O)(=O)c1cccc(C(=O)NCc2ccccc2)c1	1.0	0.0	0.876	1.526	1.2009999935626983
Cc1ccccc1NC(=O)CSCc1ccc(Cl)cc1Cl	1.0	0.0	0.824	1.793	1.3085000004768372
COc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1	1.0	0.0	0.865	1.534	1.1995000047683715
CCOc1ccc(S(=O)(=O)NCc2cccnc2)cc1	1.0	0.0	0.875	1.751	1.313
CCOc1ccc(Cc2ccc(Cl)c(Cl)c2)cc1	1.0	1.0	1.146	1.575	1.3605000138282777
Clc1ccc(Cl)c(Oc2ccc(Cl)cc2N2CCOCC2)c1	1.0	0.0	0.892	2.036	1.4640000097751618
COc1ccc(S(=O)(=O)Nc2ccccc2)cc1	1.0	1.0	0.912	1.39	1.1510000002384184
O=S(=O)(c1ccccc1)c1ccc(Cl)cc1Cl	1.0	1.0	1.023	1.697	1.3600000009536743
Cc1ccc(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)cc1	1.0	1.0	1.031	1.749	1.390000009059906
Cc1ccc(C(=O)Oc2ccc(C(=O)c3ccccc3)cc2)cc1	1.0	0.0	0.685	1.559	1.122000001192093
CC(=O)N1C(=O)CCc2ccccc21	1.0	0.0	0.759	2.04	1.39950000166893
Cc1ccc(S(=O)(=O)CC(=O)NCc2ccccc2)cc1	1.0	1.0	0.924	1.684	1.3040000123977662
O=C(c1cccnc1)c1ccc(Cl)cc1OCc1ccc(Cl)cc1Cl	1.0	1.0	0.957	2.046	1.5015000085830688
Cc1ccccc1NC(=O)c1cccnc1Oc1ccc(Cl)cc1	1.0	1.0	0.922	1.748	1.334999995470047
CC(C)c1cccc(Oc2cccc(F)c2)c1O	1.0	1.0	0.96	1.965	1.4624999892711639
CC(=O)NCCc1ccccc1OCc1ccc(F)cc1F	1.0	1.0	1.007	1.874	1.440499984741211
CCOc1ccc(Cl)cc1	1.0	0.0	0.609	1.172	0.890500013589859
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1Cl	1.0	1.0	1.026	1.694	1.3600000114440918
O=S(=O)(NCCc1cccnc1)c1ccccc1Oc1ccccc1	1.0	0.0	0.803	1.924	1.3634999866485595
Cc1cc(NS(=O)(=O)c2ccc(NC(C)C)cc2)no1	1.0	0.0	0.861	2.121	1.4910000007152557
CCCCC(=O)Nc1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.783	1.577	1.1799999961853027
O=C(O)c1ccc(CSc2ccc(Cl)cc2)cc1F	1.0	1.0	0.919	1.853	1.3860000147819518
Cc1ccc(Br)cc1Nc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1.0	1.005	2.378	1.6914999976158143
O=C(c1ncccn1)c1cc(Cl)ccc1-c1ccc(Cl)cc1	1.0	1.0	0.993	2.091	1.5419999854564668
COC(=O)c1ccccc1Oc1ccc(Cl)cc1	1.0	1.0	1.119	1.513	1.315999979019165
O=C(Nc1ccccc1)c1ccccc1Oc1ccc(Cl)cc1	1.0	1.0	0.971	1.494	1.232500007867813
Cc1cc(NS(=O)(=O)c2cccc(Cl)c2)ccc1O	1.0	0.0	0.867	1.816	1.3414999918937682
O=C(Nc1ccccc1F)c1ccccc1F	1.0	0.0	0.752	1.4	1.0759999871253967
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1Sc1ccc(Cl)c(Cl)c1	1.0	1.0	0.995	2.184	1.5895000023841859
O=C(c1ccccc1F)c1ncccc1Oc1ccc(Cl)cc1	1.0	1.0	1.059	1.929	1.4940000076293947
COC(=O)c1ccccc1NS(=O)(=O)c1ccc(Cl)c2ccccc12	1.0	1.0	0.909	1.9	1.404499989748001
Cc1ccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1	1.0	1.0	0.907	1.623	1.2650000026226045
CS(=O)(=O)Oc1ccc(Cl)cc1Cc1ccc(Cl)c(Cl)c1	1.0	1.0	1.117	2.09	1.6034999918937682
Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C)cc1C	1.0	0.0	0.835	1.73	1.282499989271164
Fc1cc(F)cc(NCc2cc(Cl)ccc2N2Cc3ccccc3C2)c1	1.0	0.0	0.858	2.229	1.5434999902248383
CC(C)(C)c1cc(Cl)c(C(=O)NCc2ccccc2)cc1Cl	1.0	0.0	0.856	1.901	1.3785000030994414
Clc1ccc(Oc2ccccc2Cn2cccn2)cc1	1.0	1.0	1.086	1.839	1.4624999828338623
Fc1cccc(Oc2ccc(Cl)cc2)c1	1.0	1.0	1.009	1.428	1.2184999718666076
Cc1cccc(C)c1NC(=O)CCCC(=O)c1ccc(Cl)cc1	1.0	1.0	0.988	1.765	1.3764999878406523
