SMILES	Valid	Desired	ROCS_CCR2	SA	Total
CC(=O)c1ccc(NC(=O)CCc2ccccc2)cc1	1.0	1.0	0.944	1.422	1.1830000028610228
O=C(c1cccnc1Cl)N1CCCCC1	1.0	1.0	1.019	1.798	1.4085000267028809
COc1ncc(F)nc1NS(=O)(=O)c1ccccc1	1.0	1.0	1.061	2.302	1.6814999947547913
COc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1	1.0	1.0	0.955	1.482	1.2184999916553498
CC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1	1.0	1.0	0.935	1.624	1.279500001192093
Clc1ccc(CN2CCCc3ccccc32)cc1	1.0	1.0	1.021	1.655	1.3380000138282777
CCc1ccc(N2C(=O)CSC2c2ccc(Cl)cc2)cc1	1.0	1.0	1.438	2.458	1.947999981880188
Cc1ccc(C2c3ccccc3C(=O)N(C)C2Nc2ccccc2)cc1	1.0	1.0	1.076	2.983	2.029499987602234
CCc1c(Cc2ccc(Cl)cc2Cl)c(C(C)=O)cn1C	1.0	1.0	1.042	2.529	1.7855000276565551
O=C(O)c1ccc(Sc2ccccc2Cl)cc1	1.0	1.0	0.948	1.727	1.337500006914139
Cc1cc(C)n(-c2cc(Cl)ccc2C(=O)c2ccc(Oc3ccccc3)cc2)c1	1.0	1.0	0.937	2.259	1.5979999883174896
O=C(c1cccc(F)c1)c1ccc(O)c(O)c1Cl	1.0	1.0	1.068	2.049	1.5584999794960022
O=S(=O)(NCc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl	1.0	1.0	1.064	1.768	1.4160000052452086
Cc1ccc(S(=O)(=O)NCc2cc(Cl)ccc2NS(=O)(=O)c2cccc(Cl)c2)cc1	1.0	1.0	1.091	2.12	1.6054999804496766
Cc1ccc(C(=O)NCC(=O)O)cc1Sc1ccc(Cl)cc1	1.0	1.0	0.921	1.985	1.4530000019073488
Cc1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.05	1.637	1.343499976158142
CCN(C(=O)c1cc(Cl)ccn1)c1ccccc1C	1.0	1.0	1.099	2.071	1.5849999885559083
COc1cncc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	1.0	1.0	0.967	2.007	1.4870000038146973
CCOC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.804	1.423	1.1135000100135803
O=C(NCc1ccccc1)c1cc(Cl)cc(Cl)c1	1.0	1.0	0.95	1.535	1.2424999940395356
CC(C)(C)c1ccc(OC(=O)Nc2ccc(Cl)cc2)cc1	1.0	1.0	0.924	1.703	1.3135000123977663
CC(C)C(=O)Nc1ccc(NS(=O)(=O)c2cccc(Cl)c2)cc1	1.0	0.0	0.817	1.763	1.2899999859333038
Cc1nc(=O)n(Cc2ccc(Cl)cc2)c(C)c1N	1.0	1.0	1.085	2.158	1.6215000190734863
O=c1ccn(CCCc2ccccc2)c(O)n1	1.0	1.0	1.076	2.293	1.684499987602234
Cc1ccc(C(=O)NCc2c(F)cccc2N2CCCC2)cc1N1CCCC1	1.0	0.0	0.855	2.15	1.5025000095367431
O=C(c1cccnc1)N1C(Cc2ccc(Cl)cc2)CN(c2ccccc2)S1(=O)=O	1.0	0.0	0.862	3.08	1.9709999942779541
O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(Oc2ccccc2)cc1	1.0	1.0	0.916	1.602	1.2590000042915346
Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C)cc2)cc1	1.0	1.0	1.076	1.831	1.4534999876022339
COc1ccc(S(=O)(=O)Nc2ccc(F)c(Cl)c2)cc1	1.0	1.0	0.958	1.65	1.3040000021457672
COc1ccc(NC(=O)C(c2ccccc2)c2ccccn2)cc1F	1.0	1.0	0.922	2.422	1.671999995470047
Cc1noc(C)c1C(=O)Oc1ccc(Cl)cc1	1.0	1.0	1.064	1.923	1.4935000052452088
O=C(O)c1cccc(S(=O)(=O)Nc2cccc(Cl)c2)c1	1.0	0.0	0.87	1.68	1.2750000023841856
COc1cc(OC)cc(C(=O)Nc2ccccc2F)c1	1.0	0.0	0.853	1.599	1.2259999926090241
O=C(NCc1ccccc1)c1ccc(Cl)cc1	1.0	1.0	0.961	1.238	1.0995000126361847
O=C(O)c1ccccc1Oc1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1F	1.0	1.0	0.927	2.155	1.540999993085861
COc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.122	1.983	1.5524999895095826
Cc1ccc(Cl)cc1N1CCN(C(=O)c2ccc(CNC(=O)c3ccccc3)cc2)c2cc(C(F)(F)F)ccc21	1.0	0.0	0.0	2.443	1.2215
O=C(O)c1ccccc1Oc1ccc(Cl)cc1Cl	1.0	1.0	1.124	1.642	1.3829999766349792
Cc1cccc(Cc2cc(C)nc(-c3ccccc3)n2)c1	1.0	1.0	1.059	1.883	1.4710000076293945
Cc1cc(C)cc(N2C(=O)c3nccnc3C2c2ccc(F)cc2)c1	1.0	1.0	1.399	2.883	2.141000024318695
COc1ccccc1C(=O)NCCc1csc(N)n1	1.0	1.0	0.951	1.952	1.4514999876022339
O=C(O)c1ccccc1Oc1ccc(Cl)cc1	1.0	1.0	0.943	1.477	1.2100000092983247
O=S(=O)(Nc1cc(Cl)ccc1Cn1cnnn1)c1ccc(F)c(F)c1	1.0	1.0	1.234	2.395	1.8144999837875366
Cc1cccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)c1	1.0	1.0	1.083	1.901	1.4919999723434447
Cc1ccc(C(=O)NCCc2ccccc2)cc1	1.0	0.0	0.895	1.293	1.093999990463257
CC(C)Oc1ccc(C(=O)Nc2ccc(C(C)C)cc2)cc1	1.0	0.0	0.844	1.593	1.218499990940094
COc1ccc(Cl)cc1C(=O)Nc1ccccc1NS(=O)(=O)c1ccccc1	1.0	1.0	0.93	1.826	1.3780000035762787
Nc1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	1.0	0.981	1.496	1.2385000030994415
Cc1ccc(C(=O)C(=O)c2ccc(C)c(N)c2)cc1	1.0	1.0	1.078	1.877	1.4774999747276305
CCOC(=O)c1c(C)n(Cc2ccccc2)c(=O)c2ccccc12	1.0	1.0	1.096	1.843	1.4694999780654907
O=C(O)c1cc(F)ccc1NS(=O)(=O)c1ccc(F)cc1F	1.0	1.0	1.021	1.964	1.4925000138282776
COc1ccc(C(=O)C2CCN(C)C(=O)c3ccccc32)cc1	1.0	1.0	1.017	2.506	1.7614999799728392
CC(=O)c1ccc(S(=O)(=O)Oc2ccc(Cl)c(C)c2)cc1	1.0	1.0	0.968	1.895	1.4314999973773956
COc1ncc(Cl)cc1NS(=O)(=O)c1ccccc1SC	1.0	1.0	1.056	2.337	1.6964999971389771
CCc1nc2nc(Cl)c(Cl)nc2n1Cc1ccccc1Br	1.0	1.0	1.135	2.629	1.8819999952316284
O=C(c1ccc(Cl)cc1)c1cccnc1-c1ccccc1	1.0	1.0	1.132	1.686	1.408999984741211
COc1ncc(F)nc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.076	2.346	1.710999987602234
Nc1cccc(COC(=O)c2cccc(C(=O)c3ccccc3)c2)c1	1.0	0.0	0.76	1.795	1.2774999952316284
COc1ccc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1	1.0	1.0	0.964	1.665	1.3144999933242798
Cc1nc(C(=O)N2CCCC2)c2ccccc2n1	1.0	1.0	1.007	1.966	1.486499984741211
Nc1nc2ncc(Cc3ccccc3)nc2n1CCc1ccccc1F	1.0	1.0	1.163	2.459	1.810999993801117
O=C(Nc1ccc(Cl)cc1)c1ccccc1O	1.0	1.0	0.975	1.41	1.192500011920929
COc1ncccc1C1CCCN(C(=O)Nc2ccccc2)C1	1.0	0.0	0.88	2.449	1.6644999976158141
O=C(c1ccccc1)N1CCC(c2ccc(F)cc2)CC1	1.0	1.0	0.972	1.618	1.2950000014305116
CCOC(=O)c1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1	1.0	1.0	0.901	1.616	1.2585000114440918
Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1	1.0	0.0	0.872	1.238	1.0549999895095825
O=C(Cc1ccnc2ccccc12)c1ccccc1	1.0	1.0	1.046	1.68	1.3630000019073485
Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1	1.0	1.0	1.051	1.442	1.246499999523163
COc1ccc(C)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.099	1.631	1.3649999885559083
CN(C)c1ccc(C(C)(C)c2ccccc2)cc1	1.0	1.0	0.977	1.761	1.3689999990463257
COc1ccc(NC(=O)Cc2ccccc2)cc1F	1.0	1.0	0.969	1.463	1.215999990940094
COc1ccc(C(=O)c2cnc(Cl)c(N)c2)cc1	1.0	1.0	1.079	2.007	1.5429999980926514
Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)nc2N2CCCC2)cc1	1.0	0.0	0.833	2.08	1.4565000021457672
COc1ccccc1Oc1ccc(C(=O)Nc2ccc(C)cc2)cc1	1.0	0.0	0.798	1.534	1.1659999890327453
CC(=O)C(=Cc1ccccc1)Sc1c(Cl)cccc1Cl	1.0	1.0	1.011	2.437	1.724000018596649
CCCOc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1	1.0	0.0	0.809	1.419	1.1140000076293946
Cc1cccc(OS(=O)(=O)c2ccc(C(=O)N3CCOCC3)cc2)c1	1.0	0.0	0.839	1.975	1.4069999933242798
O=S(=O)(CCO)Nc1ccc(Cl)cc1	1.0	0.0	0.841	1.901	1.3710000102519988
COc1ccc(C(=O)c2c(Br)c(C)nn2C)cc1	1.0	1.0	1.013	2.069	1.5410000057220459
Cc1c(C(C)(C)C)nc(S)n1Cc1ccccc1	1.0	1.0	1.111	2.53	1.8204999709129333
Cc1cc(NC(=O)c2ccc(C)c(NS(C)(=O)=O)c2)nc(C)n1	1.0	0.0	0.814	2.133	1.4735000052452087
O=C(c1ccccc1)c1ccncc1	1.0	1.0	0.942	1.495	1.2184999859333039
Cc1nc2ccc(F)cc2cc1C(=O)c1ccccc1	1.0	1.0	1.193	1.838	1.5154999794960022
Sc1nnc(Cc2ccccc2)n1Nc1ccc(Cl)cc1	1.0	1.0	1.02	2.306	1.6629999904632569
CC(=O)COc1ccc(F)cc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1.0	1.042	2.162	1.6020000276565551
O=S(=O)(c1ccc(Cl)cc1)c1cccc(Cl)c1	1.0	0.0	0.858	1.632	1.244999990224838
CCOC(=O)c1ccc(C(=O)Nc2nc(C)c(-c3cc(Cl)ccc3O)s2)cc1	1.0	0.0	0.723	2.175	1.4489999949932098
O=C(c1ccncc1)c1ccc(CCc2ccccc2)cc1	1.0	0.0	0.852	1.658	1.2549999990463256
O=S1(=O)NCc2ccccc2N1Cc1ccc(F)cc1Cl	1.0	1.0	1.039	2.629	1.8340000171661377
Cc1ccc(CN(C)C(=O)Cc2ccccc2)cc1	1.0	1.0	0.995	1.515	1.2550000023841856
CC(=O)Nc1ccccc1C(=O)Nc1ccc(Cl)cc1N1CCCC1	1.0	0.0	0.801	1.873	1.336999999523163
O=S(=O)(c1ccc(C(F)(F)F)cc1)c1ccc(Cl)cc1Cl	1.0	0.0	0.867	1.956	1.4114999918937683
CCOc1ccc(S(=O)(=O)NCc2ccccc2)cc1	1.0	1.0	0.928	1.526	1.2269999866485595
CCOc1ccc(Cn2c(=O)oc3ccccc32)cc1	1.0	1.0	1.046	1.79	1.4180000019073487
O=C(c1ccccc1)N1CCCc2ccccc21	1.0	1.0	1.124	1.59	1.3569999766349792
CC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C	1.0	1.0	1.46	2.7	2.0800000190734864
COc1ncc(F)nc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	1.0	1.016	2.58	1.7980000162124634
Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cn1	1.0	1.0	0.963	2.16	1.5614999997615815
COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1	1.0	1.0	0.954	1.475	1.2144999980926514
COc1ccccc1N1C(=O)SC(Oc2ccccc2)C1=O	1.0	1.0	0.935	2.803	1.8690000011920929
COc1ccc2nc(Cl)n3cc(Cc4ccc(Cl)cc4)cc3c2c1	1.0	1.0	0.972	2.371	1.6715000014305115
Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccc(C)c2)cc1	1.0	1.0	1.084	1.888	1.4859999957084655
Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)cn1	1.0	1.0	1.036	2.047	1.5415000066757203
COc1ccc(C(=O)c2ccc(Cl)cc2Cl)cc1C	1.0	1.0	1.103	1.701	1.4020000224113465
CC(=CC=C(O)C(=O)O)C(=O)c1ccc(O)cc1	1.0	1.0	0.906	2.669	1.787500009059906
CCCCc1ccc(OC2OC(CO)C(O)C2O)cc1	1.0	1.0	0.971	3.058	2.014500007867813
c1ccc(Cc2cncc(CN3CCCCCC3)c2)cc1	1.0	1.0	0.913	1.848	1.3804999938011169
Cc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1	1.0	1.0	1.038	1.543	1.290499993801117
O=S(=O)(Nc1cc(Cl)c(Cl)cc1On1ccnc1)c1ccc(Cl)c(O)c1	1.0	1.0	1.091	2.82	1.9554999804496764
COc1cc(F)cc(C(=O)c2ccccc2)c1N	1.0	1.0	1.065	1.886	1.4755000286102296
c1ccc(CCN2C3CCC2CC3)cc1	1.0	1.0	0.946	2.604	1.7749999899864197
CNC(=O)C(=O)c1cccc(O)c1	1.0	0.0	0.779	2.127	1.4529999921321868
O=S(=O)(Nc1cc(Cl)cc(Cl)c1)c1cc(F)c(F)cc1Cl	1.0	1.0	1.032	2.139	1.5854999728202819
CS(=O)(=O)c1ccc(C(=O)c2ccc(Cl)cc2)cc1	1.0	1.0	0.991	1.573	1.28199999833107
COc1ccc(OCC(=O)Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)cc1	1.0	0.0	0.619	1.887	1.2530000088214874
CS(=O)(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1	1.0	0.0	0.719	1.644	1.181499990940094
O=C(Nc1ccc(Cl)c(Cl)c1)c1cccc(O)c1	1.0	1.0	0.983	1.586	1.2844999902248384
Cc1ccc(NC(=O)c2cccc(Cl)c2Cl)cc1	1.0	0.0	0.888	1.523	1.2055000057220457
Cc1ccc(S(=O)(=O)NC2=C(c3ccccc3)C(=O)CC2=O)cc1	1.0	1.0	1.007	2.312	1.6594999847412109
COc1ncncc1NCc1cccc(Cl)c1NS(=O)(=O)c1ccc(F)cc1	1.0	1.0	0.921	2.436	1.6785000019073486
O=c1ccc(-c2ccc(C(F)(F)F)cc2)c2ccc(O)cc2n1	1.0	1.0	0.981	2.231	1.6060000030994415
CCOCC(=O)Nc1cc(Cl)ccc1Oc1ccccc1	1.0	1.0	0.927	1.733	1.3299999930858613
Cc1ccc(N2C(=O)CC(C)(C)CC2=O)cc1	1.0	1.0	1.091	2.062	1.5764999804496764
CC(=O)c1ccc(Oc2nc3cc(Cl)ccc3n3c(=O)c(C)nc-3c2O)cc1	1.0	1.0	1.032	2.584	1.807999972820282
Cc1cccc(Sc2ccc(Cl)cc2NS(=O)(=O)c2ccccc2)c1	1.0	1.0	1.169	2.004	1.586500014781952
Cc1ccccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.055	1.499	1.2769999737739564
O=C(OCCN1CCCCC1)C1CCCN(c2cccc(CCO)c2)C1	1.0	0.0	0.794	2.63	1.7120000147819519
Cc1cccc(-n2c(=O)[nH]c3ccccc3c2=O)c1N	1.0	1.0	0.979	2.168	1.5734999861717225
CCCOc1ccc(S(=O)(=O)NC)cc1	1.0	0.0	0.754	1.653	1.2035000040531159
COc1ccccc1NS(=O)(=O)c1cccc(Cl)c1C	1.0	1.0	1.13	1.763	1.4464999976158142
Cc1nc2c(cnn2CCO)c(=O)n1-c1cccs1	1.0	1.0	0.967	2.714	1.8405000038146972
Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2Cl)s1	1.0	1.0	1.041	2.018	1.5295000042915343
O=C(NCCSc1ccccc1)c1ccc(Cl)c(Cl)c1	1.0	0.0	0.837	1.741	1.289000006198883
COc1ncc(Cl)cc1NS(=O)(=O)c1ccc(NC(C)=O)cc1	1.0	1.0	0.938	2.037	1.4875000116825103
CC(=O)c1ccc(S(=O)(=O)Oc2cccc(C)c2)cc1	1.0	1.0	0.978	1.79	1.383999992609024
O=c1c2ccccc2nc(SCc2cccc(Cl)c2)n1Cc1ccccc1	1.0	1.0	0.988	1.854	1.4209999878406525
O=C(c1ccc(Cl)nc1)N1CCCCC1	1.0	1.0	0.991	1.8	1.3954999983310699
COc1cccc(CNC(=O)c2nc(-c3ccc(Cl)cc3)n(Cc3ccccc3)n2)c1	1.0	0.0	0.0	2.111	1.0555
Cc1ccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(F)cc2)cc1	1.0	1.0	1.076	1.849	1.462499987602234
CC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1	1.0	0.0	0.852	1.429	1.1404999990463258
C#Cc1cccc(C(=O)Nc2ccc(Cl)cc2)c1	1.0	0.0	0.816	1.719	1.2674999923706056
O=S(=O)(NCc1ccc(Cl)cc1)c1ccc(Cl)cc1	1.0	1.0	1.039	1.562	1.3005000171661378
CCOC(=O)CSc1nnc(-c2ccccc2)c(C)n1	1.0	1.0	0.94	2.149	1.5444999988079071
COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1	1.0	0.0	0.732	1.602	1.16699999666214
O=C(O)c1ccccc1NS(=O)(=O)c1ccccc1	1.0	1.0	1.006	1.538	1.272000020980835
O=C(c1cccc(Cl)c1)N1CCCc2ccc(Oc3ccccc3)cc21	1.0	0.0	0.871	1.94	1.4054999959468841
O=C(c1ccccc1[O-])c1cc(Cl)ccc1Cl	1.0	1.0	0.977	2.386	1.6814999990463257
N#Cc1cc(F)ccc1Oc1ccccc1C(=O)O	1.0	1.0	1.2	1.9	1.5500000238418579
COc1ccc(N(C(=O)Nc2cnc(C)cn2)c2ccc(Cl)cc2)cc1	1.0	1.0	0.939	2.238	1.5885000052452087
O=S(=O)(Nc1cc(Cl)ccc1Cn1cnnn1)c1ccc(Cl)c(Cl)c1	1.0	1.0	1.239	2.371	1.8049999814033508
COc1ccccc1C(=O)Nc1ccc(Oc2ccccc2)cc1	1.0	0.0	0.841	1.495	1.168000010251999
Cc1ccc(CNC(=O)c2ccccc2)cc1	1.0	1.0	0.953	1.238	1.095500004529953
CC(=O)c1ccc(F)c(F)c1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.096	2.101	1.5984999780654907
O=C(O)CN(Cc1cccc(OCc2ccc(C(=O)O)cc2)c1)CC(O)c1ccccc1	1.0	0.0	0.0	2.556	1.278
[NH-]c1cc(Cl)ccc1Oc1ccc(Cl)cc1C(=O)c1ccncc1	1.0	1.0	0.973	2.628	1.80049999499321
COc1cccc(Sc2ccc(Sc3ccccc3)cc2)c1OS(=O)(=O)c1ccccc1	1.0	0.0	0.0	2.336	1.168
CSc1nnc(C)n1Cc1ccc(Cl)cc1Cl	1.0	1.0	1.01	2.173	1.5914999952316284
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccc(Cl)c2)cc1	1.0	1.0	0.914	2.067	1.4904999873638154
Cc1ccc(C(=O)NCCNC(=O)c2ccccc2)cc1	1.0	0.0	0.84	1.45	1.1449999868869782
COc1ccc(CC(=O)NCc2c(C)nc(O)c(C#N)c2[N+](=O)[O-])cc1Cl	1.0	0.0	0.826	2.701	1.763499987602234
COC(=O)c1ccc(S(=O)(=O)Nc2ccccc2Cl)cc1C	1.0	1.0	0.917	1.817	1.3669999978542329
CC(CS)C(=O)Oc1ccc(Cl)cc1Cl	1.0	1.0	0.908	2.666	1.7869999961853027
Nc1cc(Cl)ccc1S(=O)(=O)Nc1c(Cl)cccc1C(O)c1ccccc1	1.0	1.0	0.943	2.704	1.8235000092983247
COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	1.174	1.642	1.408000012397766
CC(=O)c1ccc(SC(=O)NCc2ccccc2)cc1	1.0	1.0	0.926	1.978	1.4519999995231627
COc1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1	1.0	1.0	0.934	1.545	1.2395000076293945
Cc1ccc(C(=O)NCC(=O)O)cc1	1.0	1.0	0.915	1.418	1.1665000107288361
CCC(=O)Nc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2N)cc1	1.0	1.0	0.948	1.893	1.4205000069141387
COc1ccc(C(=O)Nc2ccc(F)c(Cl)c2)cc1	1.0	1.0	0.931	1.449	1.189999997138977
COc1cc(Cl)ccc1C(=O)Nc1ccc(O)cc1C	1.0	1.0	0.972	1.734	1.3530000014305115
Cc1cc(C(=O)C(=O)c2ccccc2)c(C)n1N	1.0	1.0	1.082	2.342	1.7120000085830689
Nc1ncc(Cc2ccc(Cl)cc2)c(N)n1	1.0	1.0	1.205	2.02	1.6125000214576721
Cc1ccccc1C(=O)NCc1ccc(Cl)c(Cl)c1NS(=O)(=O)c1ccc(Cl)cc1	1.0	0.0	0.797	2.173	1.484999995470047
Cc1cccc(NS(=O)(=O)c2cc(Cl)ccc2Cl)c1N	1.0	1.0	1.073	2.05	1.5614999771118163
CSc1ccccc1C(=O)N1CCCC1	1.0	1.0	0.96	1.755	1.3574999892711639
CC(=O)c1ccc(S(=O)(=O)Nc2ccc(C)c(C)c2)cc1Cl	1.0	1.0	0.939	1.893	1.4160000052452086
Cc1ccccc1Cc1ccc2nccc(N)c2c1	1.0	1.0	1.104	1.936	1.5199999861717224
O=C(c1ccncc1)c1ccc(-c2ccccc2)cc1	1.0	1.0	0.954	1.561	1.2574999980926513
COc1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1	1.0	1.0	1.038	1.704	1.3709999938011168
O=C(Nc1cccc(Cl)c1)c1cccnc1NCCc1ccccc1	1.0	1.0	0.912	1.799	1.3555000002384185
O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccc1	1.0	1.0	1.183	2.214	1.6984999842643738
COc1ccc(Cc2cccc(C(=O)c3ccc(F)cc3)c2)cc1	1.0	1.0	0.941	1.655	1.2979999923706056
