Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ColorScore	Overlap	Unnamed: 14	Active
ZINC03981735_81	1G3E.pdb_1GHZ.pdb_1QB6.pdb	31	0.591	0.393	0.197	1.708	1.211	0.497	0.615	0.368	0.247	-6.849	2107.633		0
ZINC02654818_184	1G3E.pdb_1GHZ.pdb_1QB6.pdb	30	0.591	0.412	0.179	1.649	1.212	0.437	0.616	0.384	0.232	-6.455	2202.294		0
ZINC02663356_26	1G3E.pdb_1GHZ.pdb_1QB6.pdb	32	0.59	0.411	0.179	1.72	1.287	0.433	0.61	0.376	0.234	-6.508	2153.228		0
ZINC03959484_74	1G3E.pdb_1GHZ.pdb_1QB6.pdb	34	0.587	0.369	0.218	1.929	1.299	0.63	0.59	0.34	0.25	-6.895	1945.469		0
ZINC03960308_83	1G3E.pdb_1GHZ.pdb_1QB6.pdb	33	0.587	0.391	0.196	1.615	1.097	0.518	0.618	0.378	0.24	-6.652	2170.077		0
ZINC01549835_107	1G3E.pdb_1GHZ.pdb_1QB6.pdb	35	0.585	0.412	0.172	1.656	1.213	0.443	0.605	0.385	0.22	-6.11	2205.17		0
ZINC03974221_97	1G3E.pdb_1GHZ.pdb_1QB6.pdb	36	0.583	0.428	0.155	1.761	1.338	0.423	0.583	0.387	0.196	-5.44	2213.359		0
ZINC03980301_187	1G3E.pdb_1GHZ.pdb_1QB6.pdb	37	0.582	0.389	0.193	1.664	1.176	0.487	0.61	0.367	0.243	-6.736	2105.74		0
ZINC03867367_187	1G3E.pdb_1GHZ.pdb_1QB6.pdb	38	0.582	0.425	0.157	1.722	1.331	0.39	0.592	0.384	0.207	-5.767	2199.428		0
ZINC03840473_66	1G3E.pdb_1GHZ.pdb_1QB6.pdb	39	0.58	0.429	0.151	1.664	1.269	0.395	0.59	0.394	0.196	-5.44	2255.553		0
ZINC03820532_18	1G3E.pdb_1GHZ.pdb_1QB6.pdb	41	0.579	0.395	0.184	1.742	1.251	0.492	0.593	0.366	0.228	-6.31	2093.291		0
ZINC02712630_7	1G3E.pdb_1GHZ.pdb_1QB6.pdb	40	0.579	0.395	0.184	1.654	1.207	0.447	0.609	0.37	0.239	-6.642	2119.024		0
ZINC03820532_142	1G3E.pdb_1GHZ.pdb_1QB6.pdb	42	0.579	0.395	0.183	1.742	1.253	0.489	0.593	0.366	0.227	-6.278	2097.052		0
ZINC03834155_90	1G3E.pdb_1GHZ.pdb_1QB6.pdb	43	0.578	0.414	0.164	1.773	1.305	0.467	0.579	0.378	0.201	-5.56	2161.607		1
ZINC03928466_41	1G3E.pdb_1GHZ.pdb_1QB6.pdb	45	0.577	0.345	0.232	1.714	1.088	0.626	0.605	0.336	0.269	-7.446	1925.093		0
ZINC01548784_36	1G3E.pdb_1GHZ.pdb_1QB6.pdb	47	0.577	0.426	0.151	1.754	1.318	0.436	0.574	0.386	0.188	-5.186	2210.113		0
ZINC03818733_103	1G3E.pdb_1GHZ.pdb_1QB6.pdb	46	0.577	0.459	0.118	1.878	1.544	0.334	0.55	0.395	0.155	-4.294	2256.067		0
ZINC03818733_103	1G3E.pdb_1GHZ.pdb_1QB6.pdb	44	0.577	0.459	0.118	1.878	1.544	0.334	0.55	0.395	0.155	-4.294	2256.067		0
ZINC03959458_42	1G3E.pdb_1GHZ.pdb_1QB6.pdb	48	0.575	0.377	0.198	1.818	1.235	0.583	0.583	0.352	0.231	-6.376	2013.851		0
ZINC03815825_198	1G3E.pdb_1GHZ.pdb_1QB6.pdb	50	0.573	0.378	0.195	1.628	1.157	0.471	0.609	0.359	0.25	-6.957	2058.549		1
ZINC03834123_85	1G3E.pdb_1GHZ.pdb_1QB6.pdb	51	0.573	0.4	0.173	1.506	1.098	0.408	0.617	0.387	0.23	-6.413	2221.134		1
ZINC03839227_65	1G3E.pdb_1GHZ.pdb_1QB6.pdb	49	0.573	0.404	0.169	1.696	1.239	0.457	0.587	0.375	0.212	-5.865	2146.737		0
ZINC03980301_169	1G3E.pdb_1GHZ.pdb_1QB6.pdb	52	0.572	0.391	0.181	1.643	1.183	0.46	0.598	0.369	0.229	-6.359	2112.975		0
ZINC03790022_16	1G3E.pdb_1GHZ.pdb_1QB6.pdb	53	0.572	0.438	0.134	1.644	1.318	0.327	0.581	0.396	0.184	-5.131	2270.298		0
ZINC01882072_41	1G3E.pdb_1GHZ.pdb_1QB6.pdb	56	0.571	0.405	0.165	1.791	1.299	0.491	0.57	0.371	0.199	-5.506	2122.263		0
ZINC03948081_161	1G3E.pdb_1GHZ.pdb_1QB6.pdb	55	0.571	0.351	0.22	1.813	1.252	0.561	0.594	0.328	0.266	-7.36	1875.588		0
ZINC04393950_144	1G3E.pdb_1GHZ.pdb_1QB6.pdb	57	0.571	0.426	0.145	1.543	1.215	0.328	0.602	0.396	0.206	-5.762	2273.184		0
ZINC02130840_124	1G3E.pdb_1GHZ.pdb_1QB6.pdb	54	0.571	0.409	0.162	1.656	1.255	0.401	0.591	0.377	0.214	-5.946	2160.563		0
ZINC03977049_84	1G3E.pdb_1GHZ.pdb_1QB6.pdb	59	0.57	0.443	0.127	1.654	1.278	0.376	0.566	0.404	0.162	-4.467	2316.215		0
ZINC03834124_159	1G3E.pdb_1GHZ.pdb_1QB6.pdb	58	0.57	0.411	0.159	1.714	1.257	0.457	0.576	0.379	0.197	-5.44	2170.271		1
ZINC03834152_162	1G3E.pdb_1GHZ.pdb_1QB6.pdb	60	0.569	0.419	0.15	1.768	1.335	0.434	0.566	0.379	0.186	-5.156	2170.891		1
ZINC03867259_158	1G3E.pdb_1GHZ.pdb_1QB6.pdb	62	0.568	0.396	0.173	1.857	1.392	0.465	0.571	0.356	0.216	-5.97	2033.523		0
ZINC03842250_74	1G3E.pdb_1GHZ.pdb_1QB6.pdb	61	0.568	0.382	0.186	1.729	1.233	0.496	0.586	0.356	0.23	-6.373	2036.894		0
ZINC03834122_8	1G3E.pdb_1GHZ.pdb_1QB6.pdb	64	0.567	0.434	0.133	1.694	1.304	0.39	0.562	0.394	0.168	-4.642	2258.282		1
ZINC04222240_147	1G3E.pdb_1GHZ.pdb_1QB6.pdb	63	0.567	0.453	0.114	1.687	1.378	0.308	0.556	0.403	0.153	-4.249	2304.741		0
ZINC03815825_52	1G3E.pdb_1GHZ.pdb_1QB6.pdb	66	0.566	0.37	0.196	1.612	1.139	0.473	0.605	0.354	0.251	-6.985	2028.434		1
ZINC03819377_163	1G3E.pdb_1GHZ.pdb_1QB6.pdb	65	0.566	0.446	0.12	1.681	1.343	0.338	0.557	0.4	0.157	-4.34	2291.558		0
ZINC03819377_117	1G3E.pdb_1GHZ.pdb_1QB6.pdb	69	0.565	0.445	0.12	1.679	1.34	0.339	0.557	0.4	0.157	-4.348	2290.652		0
ZINC02654819_115	1G3E.pdb_1GHZ.pdb_1QB6.pdb	67	0.565	0.405	0.161	1.596	1.197	0.399	0.591	0.379	0.212	-5.887	2175.42		0
ZINC03974221_197	1G3E.pdb_1GHZ.pdb_1QB6.pdb	68	0.565	0.387	0.178	1.719	1.242	0.477	0.581	0.36	0.221	-6.126	2060.484		0
ZINC03914911_23	1G3E.pdb_1GHZ.pdb_1QB6.pdb	70	0.564	0.389	0.175	1.483	1.129	0.354	0.63	0.372	0.258	-7.25	2135.673		0
ZINC04222242_155	1G3E.pdb_1GHZ.pdb_1QB6.pdb	71	0.564	0.447	0.117	1.65	1.319	0.331	0.557	0.403	0.153	-4.251	2311.829		0
ZINC03819987_5	1G3E.pdb_1GHZ.pdb_1QB6.pdb	72	0.563	0.381	0.182	1.582	1.117	0.465	0.597	0.366	0.231	-6.41	2101.341		0
ZINC03980155_105	1G3E.pdb_1GHZ.pdb_1QB6.pdb	73	0.562	0.375	0.187	1.763	1.288	0.475	0.582	0.346	0.236	-6.554	1977.11		0
ZINC02974135_167	1G3E.pdb_1GHZ.pdb_1QB6.pdb	75	0.561	0.44	0.121	1.533	1.233	0.3	0.575	0.406	0.169	-4.714	2329.446		0
ZINC03840482_23	1G3E.pdb_1GHZ.pdb_1QB6.pdb	76	0.561	0.444	0.117	1.709	1.377	0.331	0.549	0.396	0.154	-4.253	2264.726		0
ZINC03834181_94	1G3E.pdb_1GHZ.pdb_1QB6.pdb	74	0.561	0.392	0.169	1.675	1.24	0.435	0.581	0.365	0.216	-5.995	2087.162		1
ZINC00842694_120	1G3E.pdb_1GHZ.pdb_1QB6.pdb	79	0.56	0.42	0.141	1.78	1.345	0.435	0.551	0.379	0.172	-4.756	2167.239		0
ZINC03790011_142	1G3E.pdb_1GHZ.pdb_1QB6.pdb	78	0.56	0.435	0.125	1.586	1.279	0.307	0.571	0.397	0.173	-4.831	2277.435		0
ZINC03791571_0	1G3E.pdb_1GHZ.pdb_1QB6.pdb	77	0.56	0.39	0.17	1.799	1.316	0.483	0.565	0.357	0.208	-5.745	2041.7		0
ZINC00842700_86	1G3E.pdb_1GHZ.pdb_1QB6.pdb	80	0.56	0.424	0.137	1.731	1.331	0.4	0.555	0.383	0.172	-4.754	2194.313		0
ZINC02866540_147	1G3E.pdb_1GHZ.pdb_1QB6.pdb	81	0.56	0.443	0.117	1.727	1.397	0.33	0.546	0.393	0.153	-4.24	2250.419		0
ZINC02712629_182	1G3E.pdb_1GHZ.pdb_1QB6.pdb	85	0.559	0.397	0.162	1.51	1.15	0.36	0.606	0.377	0.228	-6.382	2164.782		0
ZINC03368314_115	1G3E.pdb_1GHZ.pdb_1QB6.pdb	82	0.559	0.426	0.133	1.647	1.312	0.336	0.568	0.387	0.181	-5.042	2213.643		0
ZINC03670346_161	1G3E.pdb_1GHZ.pdb_1QB6.pdb	83	0.559	0.457	0.102	1.687	1.408	0.279	0.542	0.404	0.138	-3.843	2311.672		0
ZINC03816461_133	1G3E.pdb_1GHZ.pdb_1QB6.pdb	84	0.559	0.378	0.181	1.75	1.288	0.462	0.578	0.349	0.23	-6.37	1993.072		0
ZINC02860445_108	1G3E.pdb_1GHZ.pdb_1QB6.pdb	86	0.559	0.47	0.089	1.491	1.255	0.236	0.555	0.429	0.125	-3.487	2463.388		0
ZINC00603072_178	1G3E.pdb_1GHZ.pdb_1QB6.pdb	87	0.558	0.414	0.144	1.648	1.333	0.315	0.584	0.375	0.209	-5.844	2148.51		0
ZINC03834156_25	1G3E.pdb_1GHZ.pdb_1QB6.pdb	88	0.558	0.407	0.151	1.795	1.359	0.436	0.555	0.368	0.188	-5.186	2102.222		1
ZINC00852447_196	1G3E.pdb_1GHZ.pdb_1QB6.pdb	91	0.557	0.416	0.141	1.75	1.315	0.435	0.551	0.379	0.172	-4.756	2167.05		0
ZINC03834129_139	1G3E.pdb_1GHZ.pdb_1QB6.pdb	92	0.557	0.359	0.198	1.589	1.068	0.521	0.593	0.351	0.242	-6.694	2012.787		1
ZINC03368208_136	1G3E.pdb_1GHZ.pdb_1QB6.pdb	89	0.557	0.413	0.144	1.766	1.353	0.413	0.554	0.373	0.182	-5.027	2130.839		0
ZINC03959472_185	1G3E.pdb_1GHZ.pdb_1QB6.pdb	90	0.557	0.382	0.176	1.681	1.184	0.497	0.574	0.36	0.214	-5.905	2063.398		0
ZINC03530555_131	1G3E.pdb_1GHZ.pdb_1QB6.pdb	94	0.556	0.405	0.151	1.733	1.305	0.429	0.558	0.37	0.188	-5.212	2117.564		0
ZINC03959476_179	1G3E.pdb_1GHZ.pdb_1QB6.pdb	93	0.556	0.388	0.168	1.651	1.196	0.455	0.576	0.365	0.211	-5.839	2089.679		0
ZINC03834131_199	1G3E.pdb_1GHZ.pdb_1QB6.pdb	97	0.554	0.404	0.15	1.647	1.214	0.434	0.564	0.377	0.186	-5.156	2163.395		1
ZINC01535967_89	1G3E.pdb_1GHZ.pdb_1QB6.pdb	95	0.554	0.373	0.18	1.948	1.41	0.538	0.55	0.337	0.213	-5.881	1922.827		0
ZINC02130842_54	1G3E.pdb_1GHZ.pdb_1QB6.pdb	96	0.554	0.386	0.168	1.619	1.206	0.414	0.583	0.362	0.221	-6.132	2075.77		0
ZINC01631658_159	1G3E.pdb_1GHZ.pdb_1QB6.pdb	99	0.553	0.401	0.152	1.468	1.137	0.33	0.602	0.383	0.219	-6.138	2197.688		0
ZINC03819381_165	1G3E.pdb_1GHZ.pdb_1QB6.pdb	100	0.553	0.399	0.154	1.728	1.285	0.443	0.557	0.367	0.19	-5.265	2098.109		0
ZINC03766053_92	1G3E.pdb_1GHZ.pdb_1QB6.pdb	98	0.553	0.458	0.095	1.485	1.224	0.26	0.552	0.422	0.13	-3.597	2425.0		0
ZINC03981634_165	1G3E.pdb_1GHZ.pdb_1QB6.pdb	107	0.552	0.39	0.162	1.485	1.112	0.374	0.598	0.375	0.223	-6.214	2153.868		0
ZINC01551643_56	1G3E.pdb_1GHZ.pdb_1QB6.pdb	106	0.552	0.388	0.164	1.675	1.229	0.446	0.568	0.362	0.207	-5.725	2070.948		0
ZINC04383610_152	1G3E.pdb_1GHZ.pdb_1QB6.pdb	105	0.552	0.418	0.135	1.704	1.309	0.395	0.55	0.38	0.17	-4.697	2175.708		0
ZINC03834176_31	1G3E.pdb_1GHZ.pdb_1QB6.pdb	104	0.552	0.392	0.159	1.531	1.117	0.414	0.583	0.377	0.206	-5.713	2161.996		1
ZINC02131328_25	1G3E.pdb_1GHZ.pdb_1QB6.pdb	103	0.552	0.428	0.124	1.498	1.192	0.306	0.573	0.4	0.173	-4.822	2295.856		0
ZINC04185339_17	1G3E.pdb_1GHZ.pdb_1QB6.pdb	101	0.552	0.417	0.135	1.832	1.435	0.397	0.541	0.37	0.171	-4.715	2114.42		0
ZINC03819987_90	1G3E.pdb_1GHZ.pdb_1QB6.pdb	102	0.552	0.397	0.155	1.555	1.151	0.404	0.578	0.377	0.201	-5.574	2163.588		0
ZINC03819224_46	1G3E.pdb_1GHZ.pdb_1QB6.pdb	109	0.551	0.384	0.167	1.613	1.2	0.413	0.58	0.361	0.219	-6.091	2066.224		0
ZINC03834144_125	1G3E.pdb_1GHZ.pdb_1QB6.pdb	111	0.551	0.415	0.137	1.559	1.212	0.347	0.571	0.387	0.184	-5.112	2217.368		1
ZINC04185341_16	1G3E.pdb_1GHZ.pdb_1QB6.pdb	110	0.551	0.416	0.135	1.8	1.403	0.397	0.542	0.371	0.171	-4.715	2123.394		0
ZINC00596915_158	1G3E.pdb_1GHZ.pdb_1QB6.pdb	108	0.551	0.398	0.153	1.609	1.265	0.343	0.584	0.367	0.216	-6.046	2103.503		0
ZINC03820048_183	1G3E.pdb_1GHZ.pdb_1QB6.pdb	113	0.55	0.396	0.154	1.783	1.339	0.443	0.55	0.36	0.191	-5.271	2056.944		0
ZINC01909079_145	1G3E.pdb_1GHZ.pdb_1QB6.pdb	112	0.55	0.402	0.147	1.624	1.292	0.332	0.578	0.369	0.209	-5.852	2110.0		0
ZINC03811853_123	1G3E.pdb_1GHZ.pdb_1QB6.pdb	114	0.55	0.404	0.146	1.561	1.22	0.341	0.58	0.376	0.203	-5.674	2155.669		0
ZINC03765981_42	1G3E.pdb_1GHZ.pdb_1QB6.pdb	115	0.549	0.456	0.093	1.477	1.222	0.256	0.548	0.421	0.127	-3.532	2416.271		0
ZINC03980052_167	1G3E.pdb_1GHZ.pdb_1QB6.pdb	117	0.549	0.367	0.182	1.627	1.183	0.444	0.583	0.348	0.236	-6.551	1989.751		0
ZINC03977123_116	1G3E.pdb_1GHZ.pdb_1QB6.pdb	116	0.549	0.46	0.089	1.544	1.286	0.257	0.537	0.418	0.119	-3.303	2395.002		0
ZINC03941269_5	1G3E.pdb_1GHZ.pdb_1QB6.pdb	122	0.548	0.4	0.148	1.469	1.158	0.311	0.6	0.379	0.221	-6.193	2176.719		0
ZINC03670334_130	1G3E.pdb_1GHZ.pdb_1QB6.pdb	121	0.548	0.358	0.191	1.566	1.103	0.462	0.591	0.346	0.245	-6.811	1983.429		0
ZINC03670390_177	1G3E.pdb_1GHZ.pdb_1QB6.pdb	120	0.548	0.436	0.112	1.626	1.335	0.291	0.547	0.393	0.154	-4.282	2249.095		0
ZINC02127290_154	1G3E.pdb_1GHZ.pdb_1QB6.pdb	119	0.548	0.436	0.112	1.627	1.325	0.302	0.545	0.394	0.151	-4.196	2256.608		0
ZINC03834121_26	1G3E.pdb_1GHZ.pdb_1QB6.pdb	118	0.548	0.39	0.157	1.542	1.194	0.348	0.59	0.367	0.223	-6.232	2103.163		1
ZINC03834143_92	1G3E.pdb_1GHZ.pdb_1QB6.pdb	124	0.548	0.377	0.171	1.685	1.2	0.485	0.564	0.355	0.209	-5.771	2032.795		1
ZINC02138945_109	1G3E.pdb_1GHZ.pdb_1QB6.pdb	123	0.548	0.426	0.122	1.561	1.248	0.313	0.56	0.393	0.167	-4.642	2252.024		0
ZINC03834126_121	1G3E.pdb_1GHZ.pdb_1QB6.pdb	126	0.547	0.371	0.176	1.777	1.25	0.528	0.554	0.345	0.209	-5.77	1973.675		1
ZINC03987397_56	1G3E.pdb_1GHZ.pdb_1QB6.pdb	125	0.547	0.391	0.156	1.708	1.301	0.407	0.56	0.358	0.202	-5.612	2049.094		0
ZINC03977132_184	1G3E.pdb_1GHZ.pdb_1QB6.pdb	130	0.547	0.468	0.079	1.597	1.367	0.23	0.523	0.416	0.107	-2.952	2383.444		0
ZINC02130564_138	1G3E.pdb_1GHZ.pdb_1QB6.pdb	129	0.547	0.432	0.115	1.54	1.243	0.297	0.556	0.398	0.158	-4.392	2283.325		0
ZINC03406080_53	1G3E.pdb_1GHZ.pdb_1QB6.pdb	128	0.547	0.414	0.133	1.622	1.286	0.336	0.56	0.379	0.181	-5.042	2168.591		0
ZINC02129136_114	1G3E.pdb_1GHZ.pdb_1QB6.pdb	127	0.547	0.425	0.122	1.58	1.267	0.313	0.557	0.39	0.167	-4.642	2235.26		0
ZINC03405873_29	1G3E.pdb_1GHZ.pdb_1QB6.pdb	132	0.546	0.402	0.144	1.742	1.329	0.413	0.547	0.366	0.182	-5.027	2090.674		0
ZINC01631479_122	1G3E.pdb_1GHZ.pdb_1QB6.pdb	134	0.546	0.409	0.137	1.517	1.198	0.319	0.577	0.383	0.194	-5.409	2198.663		0
ZINC03874144_190	1G3E.pdb_1GHZ.pdb_1QB6.pdb	131	0.546	0.366	0.18	1.678	1.189	0.489	0.567	0.346	0.221	-6.115	1981.252		0
ZINC03942063_184	1G3E.pdb_1GHZ.pdb_1QB6.pdb	133	0.546	0.36	0.185	1.516	1.065	0.451	0.592	0.353	0.239	-6.655	2022.487		0
ZINC03977147_193	1G3E.pdb_1GHZ.pdb_1QB6.pdb	135	0.545	0.473	0.071	1.648	1.426	0.222	0.51	0.415	0.095	-2.636	2374.256		0
ZINC03987406_139	1G3E.pdb_1GHZ.pdb_1QB6.pdb	136	0.545	0.342	0.203	1.668	1.16	0.508	0.579	0.327	0.252	-7.003	1868.698		0
ZINC03819383_189	1G3E.pdb_1GHZ.pdb_1QB6.pdb	139	0.545	0.381	0.164	1.531	1.106	0.425	0.579	0.368	0.211	-5.864	2109.708		0
ZINC01372730_11	1G3E.pdb_1GHZ.pdb_1QB6.pdb	138	0.545	0.377	0.168	1.594	1.148	0.446	0.571	0.359	0.212	-5.877	2059.689		0
ZINC04004628_161	1G3E.pdb_1GHZ.pdb_1QB6.pdb	137	0.545	0.428	0.118	1.499	1.23	0.269	0.568	0.396	0.173	-4.825	2270.618		0
ZINC03670345_106	1G3E.pdb_1GHZ.pdb_1QB6.pdb	140	0.545	0.436	0.109	1.635	1.34	0.295	0.54	0.393	0.147	-4.071	2249.256		0
ZINC02126774_181	1G3E.pdb_1GHZ.pdb_1QB6.pdb	146	0.544	0.411	0.133	1.542	1.218	0.324	0.566	0.383	0.184	-5.121	2193.206		0
ZINC02712537_190	1G3E.pdb_1GHZ.pdb_1QB6.pdb	145	0.544	0.352	0.193	1.584	1.153	0.432	0.594	0.336	0.258	-7.204	1923.02		0
ZINC03977126_162	1G3E.pdb_1GHZ.pdb_1QB6.pdb	141	0.544	0.466	0.078	1.584	1.344	0.239	0.52	0.417	0.103	-2.845	2387.657		0
ZINC03791681_181	1G3E.pdb_1GHZ.pdb_1QB6.pdb	144	0.544	0.358	0.186	1.894	1.341	0.553	0.547	0.328	0.219	-6.045	1872.292		0
ZINC03864337_186	1G3E.pdb_1GHZ.pdb_1QB6.pdb	143	0.544	0.395	0.149	1.567	1.156	0.411	0.565	0.375	0.19	-5.267	2150.913		0
ZINC03834125_42	1G3E.pdb_1GHZ.pdb_1QB6.pdb	142	0.544	0.369	0.175	1.469	1.039	0.43	0.592	0.364	0.228	-6.342	2090.591		1
ZINC01549768_128	1G3E.pdb_1GHZ.pdb_1QB6.pdb	150	0.543	0.366	0.177	1.603	1.168	0.435	0.578	0.347	0.23	-6.408	1988.992		0
ZINC03948981_11	1G3E.pdb_1GHZ.pdb_1QB6.pdb	147	0.543	0.382	0.16	1.686	1.25	0.436	0.557	0.355	0.202	-5.597	2033.212		0
ZINC03226787_158	1G3E.pdb_1GHZ.pdb_1QB6.pdb	151	0.543	0.421	0.123	1.688	1.331	0.357	0.538	0.381	0.157	-4.349	2181.114		0
ZINC01549763_177	1G3E.pdb_1GHZ.pdb_1QB6.pdb	149	0.543	0.366	0.177	1.622	1.187	0.435	0.577	0.346	0.23	-6.403	1982.447		0
ZINC01549765_7	1G3E.pdb_1GHZ.pdb_1QB6.pdb	152	0.543	0.349	0.194	1.649	1.136	0.513	0.573	0.335	0.238	-6.585	1920.726		0
ZINC03890017_136	1G3E.pdb_1GHZ.pdb_1QB6.pdb	154	0.543	0.427	0.116	1.483	1.206	0.277	0.564	0.398	0.166	-4.622	2285.193		0
ZINC03329295_78	1G3E.pdb_1GHZ.pdb_1QB6.pdb	148	0.543	0.437	0.106	1.591	1.287	0.303	0.539	0.398	0.141	-3.897	2281.166		0
ZINC03852887_41	1G3E.pdb_1GHZ.pdb_1QB6.pdb	153	0.543	0.374	0.169	1.588	1.153	0.435	0.572	0.356	0.216	-5.996	2041.118		0
ZINC03977105_72	1G3E.pdb_1GHZ.pdb_1QB6.pdb	161	0.542	0.419	0.124	1.612	1.245	0.367	0.544	0.387	0.158	-4.358	2216.143		0
ZINC02700308_194	1G3E.pdb_1GHZ.pdb_1QB6.pdb	162	0.542	0.41	0.133	1.617	1.265	0.352	0.553	0.377	0.175	-4.865	2160.865		0
